step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1767141379.1039796,8.864874839782715,8.255514144897461,0.13515020906925201,0.47421059012413025,0.0,,,3848.79020293909,11.910189316832259,,,0.0156250037252903,0,0.002122274599969387,0,3.1407761573791504,0.08954012393951416,,,,,,,,,0.01,0,0.005,0.01,0.289827621238223,0.21188688278198242,0.16719987988471985,0.40637707710266113,1259.9135848173244
100,1767141398.7927613,8.270148277282715,7.915907859802246,0.178009033203125,0.17623159289360046,0.0,,,2740.533421467496,11.420241013470669,,,0.0156250037252903,0,0.002897938946262002,0,3.140775680541992,0.08954939991235733,,,,,,,,,0.009999845027923584,0,0.004999922513961792,0.009999845027923584,0.5219795388187671,0.46825841069221497,0.2240283191204071,0.3907473087310791,1310.3097284602661
150,1767141418.468693,8.433886528015137,7.924434661865234,0.27787482738494873,0.23157723248004913,0.0,,,2764.001318366605,11.432542588521583,,,0.0156250037252903,0,0.004468636587262154,0,3.140774965286255,0.08957714587450027,,,,,,,,,0.009999380111694336,0,0.004999690055847168,0.009999380111694336,0.5707232742298455,0.5439603924751282,0.14833711087703705,0.3907468318939209,1310.3113274607347
200,1767141438.159422,8.108409881591797,7.621217727661133,0.3039526641368866,0.18323937058448792,0.0,,,2041.0460553810933,10.99509302123177,,,0.0156250037252903,0,0.004729501903057098,0,3.140774726867676,0.08959518373012543,,,,,,,,,0.009998605251312256,0,0.004999302625656128,0.009998605251312256,0.7806167618297781,0.5818043947219849,0.5130184292793274,0.3907473087310791,1310.3097284602661
250,1767141457.8792534,8.328012466430664,7.704308032989502,0.3533044457435608,0.27039963006973267,0.0,,,2217.882149876649,11.11496699267496,,,0.0156250037252903,0,0.0056549073196947575,0,3.1407737731933594,0.08960866928100586,,,,,,,,,0.009997520446777344,0,0.004998760223388672,0.009997520446777344,0.6292091784297565,0.5970130562782288,0.16483698785305023,0.3907470703125,1310.3105279600125
300,1767141477.5708807,8.638080596923828,7.874431610107422,0.40718114376068115,0.35646823048591614,0.0,,,2629.191359721565,11.360403433721274,,,0.0156250037252903,0,0.0061441450379788876,0,3.1407723426818848,0.08962706476449966,,,,,,,,,0.0099961256980896,0,0.0049980628490448,0.0099961256980896,0.5937629116985326,0.5416746735572815,0.1838356852531433,0.40637707710266113,1259.9135848173244
350,1767141497.2964406,8.003662109375,7.4502854347229,0.32807230949401855,0.22530482709407806,0.0,,,1720.3541241041046,10.748489849882004,,,0.0156250037252903,0,0.005292409099638462,0,3.1407742500305176,0.08958456665277481,,,,,,,,,0.009994421601295472,0,0.004997210800647736,0.009994421601295472,0.5585589909934449,0.4761258363723755,0.26887214183807373,0.3907470703125,1310.3105279600125
400,1767141517.063459,8.897622108459473,8.07492446899414,0.4398162066936493,0.38288092613220215,0.0,,,3212.8846871082296,11.649653486970793,,,0.0156250037252903,0,0.006461028940975666,0,3.1407711505889893,0.08963197469711304,,,,,,,,,0.00999240756034851,0,0.004996203780174255,0.00999240756034851,0.6695521285055444,0.5880443453788757,0.2813163101673126,0.40637683868408203,1259.9143240002159
450,1767141536.8150384,8.31814193725586,7.582642078399658,0.37613773345947266,0.3593616485595703,0.0,,,1963.8106588764094,10.93944012334317,,,0.0156250037252903,0,0.005879523232579231,0,3.1407723426818848,0.08961109817028046,,,,,,,,,0.009990084171295167,0,0.0049950420856475835,0.009990084171295167,0.47397649625397725,0.4315629303455353,0.1454164683818817,0.40637779235839844,1259.9113672738538
500,1767141556.5394402,7.752224922180176,7.100204944610596,0.3492153584957123,0.30280470848083496,0.0,8.539602470397949,7.674893188476562,1212.2154860671506,10.243430462885003,2153.593994140625,11.072530342367621,0.0156250037252903,0,0.005688599776476622,0,3.1407737731933594,0.08957891166210175,,,,,,,,,0.009987451434135437,0,0.004993725717067719,0.009987451434135437,0.6490515233482861,0.4319233000278473,0.4732556939125061,0.3907463550567627,1310.3129264651056
550,1767141601.0173519,8.238476753234863,7.598410606384277,0.40988871455192566,0.2301778495311737,0.0,,,1995.02249786218,10.9621893004687,,,0.0156250037252903,0,0.006194261834025383,0,3.140773057937622,0.08961810171604156,,,,,,,,,0.009984509348869323,0,0.0049922546744346616,0.009984509348869323,0.6162917028934066,0.5452618598937988,0.2626650631427765,0.3907475471496582,1310.3089289614952
600,1767141620.801873,8.16356372833252,7.431515216827393,0.47037726640701294,0.2616707682609558,0.0,,,1688.3638735550237,10.721410149607749,,,0.0156250037252903,0,0.00729500874876976,0,3.140772581100464,0.08961392939090729,,,,,,,,,0.00998125821352005,0,0.004990629106760025,0.00998125821352005,0.554764189601961,0.503060519695282,0.21067458391189575,0.3907473087310791,1310.3097284602661
650,1767141640.6022334,8.132379531860352,7.369868755340576,0.49880629777908325,0.2637038230895996,0.0,,,1587.4254282623288,10.632473105332366,,,0.0156250037252903,0,0.007201259024441242,0,3.140770435333252,0.08963853865861893,,,,,,,,,0.009977698624134064,0,0.004988849312067032,0.009977698624134064,0.5276720627338147,0.4642915427684784,0.22941753268241882,0.3907463550567627,1310.3129264651056
700,1767141660.400854,8.472275733947754,7.527428150177002,0.5498531460762024,0.3949942886829376,0.0,,,1858.320032391306,10.859783262908344,,,0.0156250037252903,0,0.008210739120841026,0,3.1407690048217773,0.08966149389743805,,,,,,,,,0.009973830282688141,0,0.004986915141344071,0.009973830282688141,0.4806618841356209,0.4335624873638153,0.14019212126731873,0.4039797782897949,1267.3901702889611
