step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
1000,1768603107.727599,7.450911521911621,7.450911521911621,0,0,0,,,1721.4315530282975,10.749393102764335,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029999814033508296,1.2525681240007502,0.0,0.22418947658368857,0.01563096046447754,24566.628574914965
2000,1768603114.8890474,7.101408004760742,7.101408004760742,0,0,0,,,1213.6747318160296,10.245166111797511,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002999921768903732,1.280203527035503,0.0,0.24161540737071596,0.015629291534423828,24569.25185343381
3000,1768603122.0802608,6.092867851257324,6.092867851257324,0,0,0,,,442.68915908230196,8.790150233800736,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029998210072517393,1.4018521202251426,0.0,0.3080543964208016,0.01562976837158203,24568.502288120082
4000,1768603129.2856374,7.016386032104492,7.016386032104492,0,0,0,,,1114.7506561385942,10.122505333479742,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029996791183948515,1.2733515898921646,0.0,0.280315358827614,0.015630006790161133,24568.127522613908
5000,1768603136.5412183,6.855021953582764,6.855021953582764,0,0,0,,,948.6329550685517,9.889706177618827,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029994961023330685,1.386048371685054,0.0,0.28964140892617707,0.01562952995300293,24568.877065059874
6000,1768603143.7766848,6.7056169509887695,6.7056169509887695,0,0,0,,,816.9819086575093,9.674160321292469,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029992719590663907,1.1847585856562919,0.0,0.2660188997885021,0.0,0
7000,1768603151.0537968,7.011575222015381,7.011575222015381,0,0,0,,,1109.4006816091867,10.115564801621522,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002999006778001785,1.4136345593664428,0.0,0.3107040096151308,0.01562976837158203,24568.502288120082
8000,1768603158.2254412,6.826000213623047,6.826000213623047,0,0,0,,,921.497637749913,9.847836657300975,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002998700380325317,1.356046071717657,0.0,0.33440874762250505,0.0,0
9000,1768603165.4413335,7.018655776977539,7.018655776977539,0,0,0,,,1117.2837293525824,10.12577988315217,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029983529448509216,1.49396624426891,0.0,0.3784322367512268,0.0,0
10000,1768603172.7244012,6.515175819396973,6.515175819396973,0,0,0,,,675.3126841548856,9.399411845163701,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002997964471578598,1.27046074880317,0.0,0.32052900198584255,0.015630722045898438,24567.003294691884
11000,1768603179.944906,6.538548469543457,6.538548469543457,0,0,0,,,691.2824319344471,9.433131451622467,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002997534871101379,1.3681259859123085,0.0,0.35773278262895847,0.01562976837158203,24568.502288120082
12000,1768603187.178816,6.631340026855469,6.631340026855469,0,0,0,,,758.4978974916438,9.56700137119287,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029970642328262326,1.4886621945896785,0.0,0.44786097918407763,0.015629291534423828,24569.25185343381
13000,1768603194.3814254,6.530304908752441,6.530304908752441,0,0,0,,,685.6072272691512,9.421238507350003,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029965524673461914,1.4710945222235021,0.0,0.3922255369756921,0.01562976837158203,24568.502288120082
14000,1768603201.6493232,6.403963088989258,6.403963088989258,0,0,0,,,604.2349358761529,9.23896579052077,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002995999753475189,1.3852203799721048,0.0,0.3594715721413504,0.012648582458496094,30359.13322777652
15000,1768603208.8937879,6.766930103302002,6.766930103302002,0,0,0,,,868.641158023724,9.762616502076039,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002995406001806259,1.4467615745060505,0.0,0.4001475461609726,0.015630006790161133,24568.127522613908
16000,1768603216.1732266,7.101657390594482,7.101657390594482,0,0,0,,,1213.9774428452654,10.245525899503116,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002994771212339401,1.6978322524110643,0.0,0.47108348330146493,0.015630722045898438,24567.003294691884
17000,1768603223.3900614,6.176394939422607,6.176394939422607,0,0,0,,,481.25387591677816,8.910654349676685,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029940954744815825,1.5333449413923728,0.0,0.438860879057515,0.015629053115844727,24569.626653242416
18000,1768603230.5944262,6.366393089294434,6.366393089294434,0,0,0,,,581.954979131058,9.184763738274848,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002993378788232803,1.4185383105478622,0.0,0.4299636218877157,0.01562976837158203,24568.502288120082
19000,1768603237.796837,6.248027801513672,6.248027801513672,0,0,0,,,516.9922073204401,9.013998724580148,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002992621064186096,1.5243526381877932,0.0,0.4496358674466359,0.0,0
20000,1768603245.0501914,6.594178199768066,6.594178199768066,0,0,0,,,730.8280451812053,9.513388187543502,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002991822481155395,1.4984793703055257,0.0,0.4488769696615122,0.0,0
21000,1768603252.3299394,6.408726692199707,6.408726692199707,0,0,0,,,607.1201378794262,9.245838217249247,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002990982949733734,1.460593645336998,0.0,0.44669673865346105,0.01562952995300293,24568.877065059874
22000,1768603259.551681,6.726232051849365,6.726232051849365,0,0,0,,,833.9988736759364,9.703901625071477,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002990102559328079,1.3926411095456352,0.0,0.4225804135461342,0.015630722045898438,24567.003294691884
23000,1768603266.8143477,6.376358985900879,6.376358985900879,0,0,0,,,587.7836781468756,9.199141487886978,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029891813099384306,1.6489230561213306,0.0,0.5003885090172384,0.015630483627319336,24567.378025900332
24000,1768603274.1081047,6.345160961151123,6.345160961151123,0,0,0,,,569.7290865850179,9.154132252294975,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029882192909717556,1.5278709913829587,0.0,0.4672750720007454,0.015630245208740234,24567.752768540835
25000,1768603281.4107225,6.102438449859619,6.102438449859619,0,0,0,5.982303237915039,5.982303237915039,446.9462985210246,8.803957688942607,396.3521728515625,8.630639214434016,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029872164130210875,1.5535655137035687,0.0,0.48578942782374634,0.01562952995300293,24568.877065059874
26000,1768603307.813329,7.036360740661621,7.036360740661621,0,0,0,,,1137.2413503499308,10.151322746458314,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029861727654933925,1.463192374261904,0.0,0.474975242472793,0.0,0
27000,1768603315.0651822,6.200761795043945,6.200761795043945,0,0,0,,,493.12455788592536,8.945808291443647,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029850883483886715,1.6245987047683754,0.0,0.5332731235169396,0.015630483627319336,24567.378025900332
28000,1768603322.2828875,6.1840691566467285,6.1840691566467285,0,0,0,,,484.9613304106506,8.92172590480863,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002983963161706924,1.4029201103458797,0.0,0.45855168206477825,0.01562952995300293,24568.877065059874
29000,1768603329.517878,6.677133083343506,6.677133083343506,0,0,0,,,794.039400922088,9.63306678669531,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029827973842620845,1.5185936248406606,0.0,0.459997814020938,0.0,0
30000,1768603336.8454642,6.513515472412109,6.513515472412109,0,0,0,,,674.1923610957869,9.397016470802484,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002981590837240219,1.4093391504494306,0.0,0.4572839576309614,0.01374053955078125,27946.500832870628
31000,1768603344.1271358,6.236598014831543,6.236598014831543,0,0,0,,,511.11673831727126,8.997509028015422,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002980343788862228,1.663890266369438,0.0,0.5350173509767687,0.015630006790161133,24568.127522613908
32000,1768603351.38727,6.361851692199707,6.361851692199707,0,0,0,,,579.3180826086813,9.178211887207578,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002979056060314178,1.670294674356713,0.0,0.5494881451501201,0.01562976837158203,24568.502288120082
33000,1768603358.6205513,5.811309337615967,5.811309337615967,0,0,0,,,334.0562318425468,8.383947162450282,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029777278304100033,1.5975700163146942,0.0,0.5136348970935164,0.01562976837158203,24568.502288120082
