step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1766982633.0422218,9.443205833435059,8.107483863830566,0.5692857503890991,0.7664369940757751,0.0,,,3319.2159149778404,11.696626764435651,,,0.015625007450580597,0,0.008869833312928677,0,3.140775680541992,0.08958866447210312,,,,,,,,,0.01,0,0.005,0.01,1.1437533166230156,0.8150693774223328,0.2825058400630951,0.5783083438873291,221.33521218040394
100,1766982661.7733684,10.571969032287598,8.813846588134766,1.5790627002716064,0.17906023561954498,0.0,,,6726.744581393457,12.715692763858137,,,0.015625005587935448,0,0.025370176881551743,0,3.140747308731079,0.0898357629776001,,,,,,,,,0.009999987483024598,0,0.004999993741512299,0.009999987483024598,1.8632825545227438,1.4152635335922241,0.12688139081001282,0.5783071517944336,221.33566842953238
150,1766982690.512591,9.536916732788086,7.859735488891602,1.479532241821289,0.19764919579029083,0.0,,,2590.834980136964,11.339201412522906,,,0.015625005587935448,0,0.023478170856833458,0,3.1407439708709717,0.08973927795886993,,,,,,,,,0.009999949634075165,0,0.0049999748170375825,0.009999949634075165,1.6590303952990133,1.1706914901733398,0.010101497173309326,0.5626773834228516,227.4838189183234
200,1766982719.3086922,11.912311553955078,8.35836410522461,3.3260269165039062,0.22792023420333862,0.0,,,4265.710801423722,12.058570444551862,,,0.015625005587935448,0,0.04499109834432602,0,3.140601873397827,0.09042513370513916,,,,,,,,,0.009999886453151703,0,0.004999943226575852,0.009999886453151703,2.3128225191009957,1.5862417221069336,0.02815411053597927,0.5783061981201172,221.33603343018942
250,1766982748.3237734,10.389327049255371,7.558836936950684,2.539579391479492,0.29091089963912964,0.0,,,1917.6139099958343,10.905096563827074,,,0.015625005587935448,0,0.04694883152842522,0,3.1406822204589844,0.08982373774051666,,,,,,,,,0.009999798238277435,0,0.0049998991191387175,0.009999798238277435,1.7542095355120175,1.1969612836837769,0.03656775504350662,0.5783066749572754,221.3358509297104
300,1766982778.0519621,12.129058837890625,8.600346565246582,3.2684168815612793,0.2602962553501129,0.0,,,5433.542342037742,12.407677339607675,,,0.015625005587935448,0,0.058907002210617065,0,3.1405951976776123,0.09005124866962433,,,,,,,,,0.009999684989452362,0,0.004999842494726181,0.009999684989452362,2.0617003012847706,1.4802461862564087,0.0631742775440216,0.5783069133758545,221.33575967958376
350,1766982807.8538105,16.591449737548828,10.32105541229248,5.918637752532959,0.35175609588623047,0.0,,,30365.288589141204,14.890135460054557,,,0.015625005587935448,0,0.08998929709196091,0,3.14033842086792,0.09090287983417511,,,,,,,,,0.009999546110630036,0,0.004999773055315018,0.009999546110630036,2.775006579077828,2.120185613632202,0.09688335657119751,0.7033464908599854,181.98711682416123
400,1766982838.5282378,11.081482887268066,7.3695549964904785,3.2025928497314453,0.5093356966972351,0.0,,,1586.9274376139135,10.632020446995297,,,0.015625005587935448,0,0.04897700995206833,0,3.1404850482940674,0.09041876345872879,,,,,,,,,0.009999382197856904,0,0.004999691098928452,0.009999382197856904,2.195236973507544,1.4404042959213257,0.06401413679122925,0.5939366817474365,215.51118820175896
450,1766982868.2767963,11.061016082763672,7.347430229187012,3.3710436820983887,0.3425430655479431,0.0,,,1552.2025933666623,10.600101154925762,,,0.015625005587935448,0,0.0539536289870739,0,3.1405441761016846,0.09031546115875244,,,,,,,,,0.009999193251132965,0,0.0049995966255664825,0.009999193251132965,1.8835473846790873,1.2981386184692383,0.04184766858816147,0.5783069133758545,221.33575967958376
500,1766982899.0212188,13.964879989624023,8.132890701293945,5.503817558288574,0.3281720280647278,0.0,12.19703426361084,7.678096675872803,3404.6271140477847,11.73328108284874,2160.50390625,11.077151997747729,0.015625005587935448,0,0.07739973068237305,0,3.140125274658203,0.09131813049316406,,,,,,,,,0.009998978972434997,0,0.004999489486217499,0.009998978972434997,2.3849234799824943,1.6856627464294434,0.027751242741942406,0.593935489654541,215.5116207560697
550,1766982950.2720468,12.493460655212402,8.082483291625977,4.150792121887207,0.2601848542690277,0.0,,,3237.262329663186,11.660558562896702,,,0.015625005587935448,0,0.0621800422668457,0,3.140451669692993,0.09024175256490707,,,,,,,,,0.009998739361763001,0,0.0049993696808815005,0.009998739361763001,2.446519190775479,1.8186233043670654,0.008443674072623253,0.5603153705596924,228.44277834488517
600,1766982978.6381028,10.647089004516602,6.460039138793945,3.8638668060302734,0.3231829106807709,0.0,,,639.086069138042,9.319866429486636,,,0.015625005587935448,0,0.05889035388827324,0,3.1405532360076904,0.09026002883911133,,,,,,,,,0.009998474717140198,0,0.004999237358570099,0.009998474717140198,1.90972915074998,1.2934820652008057,0.0007395727443508804,0.5626769065856934,227.48401169811672
650,1766983006.9733336,13.105722427368164,8.163414001464844,4.569639205932617,0.3726694583892822,0.0,,,3510.1498275649847,11.77731689663686,,,0.015625005587935448,0,0.0727924183011055,0,3.140385150909424,0.09025906026363373,,,,,,,,,0.009998184740543366,0,0.004999092370271683,0.009998184740543366,2.3090733118766704,1.5422593355178833,0.021979670971632004,0.5626778602600098,227.48362613885686
700,1766983035.354872,12.243953704833984,7.310258865356445,4.624941349029541,0.3087543845176697,0.0,,,1495.564288868667,10.546474212664325,,,0.015625005587935448,0,0.0698600560426712,0,3.1403961181640625,0.09047452360391617,,,,,,,,,0.009997869729995728,0,0.004998934864997864,0.009997869729995728,2.5552292938248793,1.802178978919983,0.022016121074557304,0.5783064365386963,221.33594217991228
750,1766983063.7450354,12.445279121398926,6.957596302032471,5.096667766571045,0.3910146653652191,0.0,,,1051.1039817878855,10.037689681449637,,,0.015625005587935448,0,0.07887610793113708,0,3.1403555870056152,0.09052745997905731,,,,,,,,,0.00999752938747406,0,0.00499876469373703,0.00999752938747406,2.188206497245265,1.5383033752441406,0.018513843417167664,0.5626769065856934,227.48401169811672
800,1766983092.1300867,12.995465278625488,7.143929481506348,5.427584648132324,0.423950731754303,0.0,,,1266.394900140909,10.306511635429672,,,0.015625005587935448,0,0.08459359407424927,0,3.1402807235717773,0.09072774648666382,,,,,,,,,0.009997163712978364,0,0.004998581856489182,0.009997163712978364,2.218482500650208,1.5195868015289307,0.025563878938555717,0.578315258026123,221.33256597255146
850,1766983120.495851,14.757761001586914,8.10421371459961,6.21326208114624,0.44028472900390625,0.0,,,3308.3793119177826,11.691908936357182,,,0.015625005587935448,0,0.09716904163360596,0,3.1401023864746094,0.09063300490379333,,,,,,,,,0.00999677300453186,0,0.00499838650226593,0.00999677300453186,2.4840335878314206,1.7675831317901611,0.032425008714199066,0.5626764297485352,227.48420447823676
900,1766983148.8544617,13.09607219696045,7.553689002990723,5.1282429695129395,0.4141395092010498,0.0,,,1907.76752623823,10.897669665032215,,,0.015625005587935448,0,0.08507071435451508,0,3.14021897315979,0.09022237360477448,,,,,,,,,0.009996356964111329,0,0.004998178482055664,0.009996356964111329,2.2996321971227727,1.6890348196029663,0.031211454421281815,0.5783071517944336,221.33566842953238
