step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
1000,1767235398.9916234,6.916248321533203,6.916248321533203,0,0,0,,,1008.5292107571478,9.978037155032569,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999994039535524,0.4252214568563186,0.0,0.08277810779798762,0.015003442764282227,102376.50278885728
2000,1767235407.684672,6.910219669342041,6.910219669342041,0,0,0,,,1002.4674294658287,9.969339648413136,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999975860118867,0.4881141243832559,0.0,0.10845305005489318,0.016004323959350586,95974.0632532364
3000,1767235416.4037259,6.729084491729736,6.729084491729736,0,0,0,,,836.3812014314431,9.708016825941321,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999945461750032,0.48674440207953096,0.0,0.1267992073931034,0.015003681182861328,102374.875957413
4000,1767235425.1187792,6.7562642097473145,6.7562642097473145,0,0,0,,,859.4255575664959,9.747228870338041,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999902546405793,0.4905567890072234,0.0,0.1266228359561404,0.016004085540771484,95975.49301313946
5000,1767235433.815334,6.513316631317139,6.513316631317139,0,0,0,,,674.0583172756373,9.396729603740845,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999847412109374,0.48943415714994193,0.0,0.14017590361955823,0.015002727508544922,102381.3835934272
6000,1767235442.5153837,6.274857044219971,6.274857044219971,0,0,0,,,531.0504595987077,9.052705139983331,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999779760837555,0.5231931240275658,0.0,0.16192739357403046,0.015003204345703125,102378.12967200611
7000,1767235451.2324376,6.367393970489502,6.367393970489502,0,0,0,,,582.5377385138515,9.186207704611492,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999699890613557,0.4805812525319434,0.0,0.15063389475609185,0.015003442764282227,102376.50278885728
8000,1767235459.9604938,6.220787525177002,6.220787525177002,0,0,0,,,503.09927940018775,8.974699312996789,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999607801437378,0.4981431337155058,0.0,0.15995824019588578,0.015003681182861328,102374.875957413
9000,1767235468.659543,6.289098739624023,6.289098739624023,0,0,0,,,538.667630455904,9.073251563316608,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999503195285797,0.4821331958928092,0.0,0.15743210762914284,0.01600360870361328,95978.35266074727
10000,1767235477.3695953,6.3001179695129395,6.3001179695129395,0,0,0,,,544.6361567984269,9.089148951631763,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999386370182037,0.48523639897187343,0.0,0.1618687645434177,0.015003442764282227,102376.50278885728
11000,1767235486.0866492,6.3102006912231445,6.3102006912231445,0,0,0,,,550.155349083413,9.10369524424174,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999257028102874,0.49210586097880166,0.0,0.16336191086949425,0.015003681182861328,102374.875957413
12000,1767235494.8097048,6.17466402053833,6.17466402053833,0,0,0,,,480.42158501664113,8.908157161586157,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009999115467071533,0.4908506492150287,0.0,0.17309172039200837,0.01500391960144043,102373.24917767078
13000,1767235503.5377603,6.343532562255859,6.343532562255859,0,0,0,,,568.8020953304313,9.151782969284188,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009998961389064789,0.4883408781968922,0.0,0.16771026257059807,0.015003681182861328,102374.875957413
14000,1767235512.2568145,6.163327693939209,6.163327693939209,0,0,0,,,475.0061227441304,8.891802299419709,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.000999879539012909,0.45209770965000495,0.0,0.15795604236065544,0.01600360870361328,95978.35266074727
15000,1767235521.008874,6.242365837097168,6.242365837097168,0,0,0,,,514.0732870481927,9.005830236594766,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009998616874217986,0.47677315377732005,0.0,0.16606409442988776,0.015004158020019531,102371.62244962816
16000,1767235529.73693,6.035147190093994,6.035147190093994,0,0,0,,,417.8603100104027,8.706876922183568,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009998425841331482,0.4508587018331977,0.0,0.16480039131468413,0.015003681182861328,102374.875957413
17000,1767235538.4629855,6.182746887207031,6.182746887207031,0,0,0,,,484.32050462955505,8.919818273245259,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009998222589492798,0.48353561222019814,0.0,0.1727585789186082,0.016003847122192383,95976.92281564247
18000,1767235547.1910417,6.413317680358887,6.413317680358887,0,0,0,,,609.9138272340832,9.252461613099277,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009998007118701936,0.4501322549433619,0.0,0.1552720246967825,0.015003681182861328,102374.875957413
19000,1767235555.910096,6.364930629730225,6.364930629730225,0,0,0,,,581.1045155417739,9.182653855114062,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.000999777913093567,0.47108387411565705,0.0,0.16439103845397104,0.015003442764282227,102376.50278885728
20000,1767235564.650155,6.371800422668457,6.371800422668457,0,0,0,,,585.1103270325685,9.192564871317984,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009997538924217224,0.47800029577043823,0.0,0.16881863554505483,0.016003847122192383,95976.92281564247
21000,1767235573.3912144,6.077447891235352,6.077447891235352,0,0,0,,,435.9152707123591,8.76790393394633,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009997286200523377,0.4778196417491566,0.0,0.17471892611118534,0.015003681182861328,102374.875957413
22000,1767235582.142276,6.075718402862549,6.075718402862549,0,0,0,,,435.1620118840854,8.765408809647612,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009997021555900574,0.47222428098352953,0.0,0.17633948157472312,0.015003681182861328,102374.875957413
23000,1767235590.885336,5.695741176605225,5.695741176605225,0,0,0,,,297.59728400952883,8.217217549675427,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009996744096279144,0.47972643360480344,0.0,0.17885211997506936,0.015003442764282227,102376.50278885728
24000,1767235599.6213934,6.164850234985352,6.164850234985352,0,0,0,,,475.72988990596764,8.893998861836527,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.000999645471572876,0.4486887592645381,0.0,0.16435780726696808,0.015002965927124023,102379.75660686192
25000,1767235608.3625042,6.155515193939209,6.155515193939209,0,0,0,5.7284516334533695,5.7284516334533695,471.30959577017325,8.880531244412763,307.4928283691406,8.264408763555458,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009996152818202973,0.45678033773124854,0.0,0.1696881632217305,0.015003681182861328,102374.875957413
26000,1767235633.0227146,6.158278465270996,6.158278465270996,0,0,0,,,472.6137531050062,8.884517802259763,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009995838701725005,0.4366113845640845,0.0,0.16425813776846676,0.01500391960144043,102373.24917767078
27000,1767235641.7967815,6.231253623962402,6.231253623962402,0,0,0,,,508.3924170911384,8.98979870181194,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009995512068271637,0.4722109181289268,0.0,0.17191003216403322,0.015003681182861328,102374.875957413
28000,1767235650.5504954,6.315217971801758,6.315217971801758,0,0,0,,,552.9225689859691,9.110933650051253,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009995173215866088,0.46693361555199847,0.0,0.17014440408696346,0.016003847122192383,95976.92281564247
29000,1767235659.2805521,5.933652400970459,5.933652400970459,0,0,0,,,377.53089295022386,8.560450893238972,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009994821846485138,0.4722619027727192,0.0,0.17991903316721247,0.015003681182861328,102374.875957413
30000,1767235668.0146098,6.239498138427734,6.239498138427734,0,0,0,,,512.6011915389385,9.001693021945611,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009994458556175233,0.4605450189492696,0.0,0.16716203815492225,0.015002965927124023,102379.75660686192
31000,1767235676.7516685,6.050412654876709,6.050412654876709,0,0,0,,,424.28807846969715,8.728900332522455,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009994082748889922,0.4625342704329116,0.0,0.17326520512481794,0.016004085540771484,95975.49301313946
32000,1767235685.4857259,6.171184062957764,6.171184062957764,0,0,0,,,478.75264388641756,8.90313664404217,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.000999369442462921,0.4620914928090327,0.0,0.1751884760922014,0.015003681182861328,102374.875957413
33000,1767235694.2347882,6.258544921875,6.258544921875,0,0,0,,,522.4581692983742,9.029171721969867,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.000999329388141632,0.43685281846382823,0.0,0.1619548180134119,0.01600480079650879,95971.20386122243
34000,1767235702.9988635,6.16538667678833,6.16538667678833,0,0,0,,,475.98515976843066,8.89477278376541,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.000999288111925125,0.4516041396596552,0.0,0.16709385492030224,0.014003515243530273,109686.74459862092
35000,1767235711.7454288,6.082413196563721,6.082413196563721,0,0,0,,,438.0851056171815,8.775067355320068,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0009992456138134002,0.43189278951679855,0.0,0.15690712335118395,0.01500391960144043,102373.24917767078
36000,1767235720.4815042,5.981184959411621,5.981184959411621,0,0,0,,,395.9092266756012,8.629025879582802,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.000999201864004135,0.4491495321218889,0.0,0.17317970614638178,0.015003681182861328,102374.875957413
