step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
1000,1768675765.7891045,7.939260959625244,7.939260959625244,0,0,0,,,2805.286522012664,11.453932414774693,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002999832898378372,1.6527260300672602,0.0,0.34774834829876694,0.01562952995300293,24568.877065059874
2000,1768675773.3866143,7.258193016052246,7.258193016052246,0,0,0,,,1419.6888630405272,10.471359070073484,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029992960095405577,1.2363761389099412,0.0,0.192166722835949,0.018937110900878906,20277.644357153647
3000,1768675781.0057242,6.710910797119141,6.710910797119141,0,0,0,,,821.3183532812038,9.681797726851984,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029983890652656554,1.594798156656475,0.0,0.3448122091817597,0.013640165328979492,28152.151439408506
4000,1768675788.608996,6.492865562438965,6.492865562438965,0,0,0,,,660.413109329644,9.367224948089426,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002997112154960632,1.3899382309345838,0.0,0.2764300664015169,0.015630006790161133,24568.127522613908
5000,1768675796.136768,6.812451362609863,6.812451362609863,0,0,0,6.412990951538086,6.412990951538086,909.0966031378786,9.828289797134511,609.7146606445312,9.251990243049793,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002995465725660324,1.772647871362337,0.0,0.38742333504430265,0.013157367706298828,29185.16899213569
6000,1768675823.8782375,6.743717670440674,6.743717670440674,0,0,0,,,848.7101025309091,9.729128040300033,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029934500455856323,1.421753352997065,0.0,0.3232549352918731,0.014728546142578125,26071.819735819736
7000,1768675831.8032641,7.100996017456055,7.100996017456055,0,0,0,,,1213.1748162210117,10.244571739756129,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002991065829992294,1.3309549359514004,0.0,0.28928426613830005,0.017401695251464844,22066.815586123746
8000,1768675839.5539231,6.6359639167785645,6.6359639167785645,0,0,0,,,762.0132292668786,9.573672234254538,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029883134365081787,1.3354245870861963,0.0,0.2938233280645698,0.013675689697265625,28079.022594142258
9000,1768675847.22452,6.607532024383545,6.607532024383545,0,0,0,,,740.6528480680149,9.532653684093154,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0.00029851936697959896,1.4020128936908243,0.0,0.3264477531651099,0.01562976837158203,24568.502288120082
10000,1768675854.9573734,7.084544658660889,7.084544658660889,0,0,0,6.125478363037109,6.125478363037109,1193.3797166362801,10.220837446006458,457.3634033203125,8.837197257426283,0,0,0,0,0,0,,,,,,,,,0,0,0,0.0002981707245111465,1.3142990471711564,0.0,0.30962270782848483,0.015630006790161133,24568.127522613908
