step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss
1000,2.5676099851784714e-05,7.939260959625244,7.939260959625244,2805.286522012664,11.453932414774693,,,,1.6527260300672602,0.0,0.0,0.0,0.0,24568.877065059874,0.01562952995300293,0
2000,5.135219970356943e-05,7.258193016052246,7.258193016052246,1419.6888630405272,10.471359070073484,,,,1.2363761389099412,0.0,0.0,0.0,0.0,20277.644357153647,0.018937110900878906,0
3000,7.702829955535414e-05,6.710910797119141,6.710910797119141,821.3183532812038,9.681797726851984,,,,1.594798156656475,0.0,0.0,0.0,0.0,28152.151439408506,0.013640165328979492,0
4000,0.00010270439940713886,6.492865562438965,6.492865562438965,660.413109329644,9.367224948089426,,,,1.3899382309345838,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
5000,0.00012838049925892358,6.812451362609863,6.812451362609863,909.0966031378786,9.828289797134511,6.412990951538086,609.7146606445312,9.251990243049793,1.772647871362337,0.0,0.0,0.0,0.0,29185.16899213569,0.013157367706298828,0
6000,0.00015405659911070827,6.743717670440674,6.743717670440674,848.7101025309091,9.729128040300033,,,,1.421753352997065,0.0,0.0,0.0,0.0,26071.819735819736,0.014728546142578125,0
7000,0.000179732698962493,7.100996017456055,7.100996017456055,1213.1748162210117,10.244571739756129,,,,1.3309549359514004,0.0,0.0,0.0,0.0,22066.815586123746,0.017401695251464844,0
8000,0.00020540879881427771,6.6359639167785645,6.6359639167785645,762.0132292668786,9.573672234254538,,,,1.3354245870861963,0.0,0.0,0.0,0.0,28079.022594142258,0.013675689697265625,0
9000,0.00023108489866606244,6.607532024383545,6.607532024383545,740.6528480680149,9.532653684093154,,,,1.4020128936908243,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
10000,0.00025676099851784716,7.084544658660889,7.084544658660889,1193.3797166362801,10.220837446006458,6.125478363037109,457.3634033203125,8.837197257426283,1.3142990471711564,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
11000,0.00028243709836963185,6.658960342407227,6.658960342407227,779.7398531163562,9.60684906346718,,,,1.304376116153818,0.0,0.0,0.0,0.0,24555.76667174874,0.015637874603271484,0
12000,0.00030811319822141654,6.483124256134033,6.483124256134033,654.0110557520965,9.35317121379152,,,,1.6267943437048185,0.0,0.0,0.0,0.0,24569.25185343381,0.015629291534423828,0
13000,0.0003337892980732013,7.115877628326416,7.115877628326416,1231.3638168884434,10.26604136595924,,,,1.359959339591366,0.0,0.0,0.0,0.0,0,0.0,0
14000,0.000359465397924986,6.046026706695557,6.046026706695557,422.43124790155713,8.722572746831911,,,,1.5168556861902724,0.0,0.0,0.0,0.0,24567.003294691884,0.015630722045898438,0
15000,0.0003851414977767707,6.710043430328369,6.710043430328369,820.6062778768385,9.680546381084307,6.17919225692749,482.6018981933594,8.914690025768772,1.8455787559761796,0.0,0.0,0.0,0.0,24567.752768540835,0.015630245208740234,0
16000,0.00041081759762855543,6.4201979637146,6.4201979637146,614.1246764948718,9.262387763776474,,,,1.4239531788263342,0.0,0.0,0.0,0.0,24568.877065059874,0.01562952995300293,0
17000,0.0004364936974803401,6.343168258666992,6.343168258666992,568.5949164260478,9.15125739030315,,,,1.3896662370831518,0.0,0.0,0.0,0.0,0,0.0,0
18000,0.00046216979733212487,6.420251369476318,6.420251369476318,614.1574751668215,9.26246481200406,,,,1.309145764761328,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
19000,0.00048784589718390956,6.737212181091309,6.737212181091309,843.2067484131153,9.719742603077147,,,,1.326069070839327,0.0,0.0,0.0,0.0,24569.626653242416,0.015629053115844727,0
20000,0.0005135219970356943,6.6049418449401855,6.6049418449401855,738.7369066734665,9.528916845055207,5.986018943786621,397.8277587890625,8.63599984486835,1.3051216615225536,0.0,0.0,0.0,0.0,24570.00146448621,0.015628814697265625,0
21000,0.000539198096887479,6.370580673217773,6.370580673217773,584.3970741159387,9.190805144834355,,,,1.6037998831925582,0.0,0.0,0.0,0.0,24567.003294691884,0.015630722045898438,0
22000,0.0005648741967392637,6.353418350219727,6.353418350219727,574.4530382283311,9.16604514655494,,,,1.417553273629236,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
23000,0.0005905502965910484,6.599340438842773,6.599340438842773,734.6105088640307,9.520835724256465,,,,1.4644266292345531,0.0,0.0,0.0,0.0,24569.25185343381,0.015629291534423828,0
24000,0.0006162263964428331,5.94114351272583,5.94114351272583,380.36963846528164,8.57125828301919,,,,1.580843433253634,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
25000,0.0006419024962946179,6.095064163208008,6.095064163208008,443.662511073868,8.793318842160232,5.80427827835083,331.7157287597656,8.373803488116273,1.4849436551426374,0.0,0.0,0.0,0.0,24579.375463549375,0.015622854232788086,0
26000,0.0006675785961464026,6.110846042633057,6.110846042633057,450.7198821389864,8.816087281342659,,,,1.493653645665221,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
27000,0.0006932546959981873,6.425108432769775,6.425108432769775,617.1477329529107,9.269472073130816,,,,1.4109570495923847,0.0,0.0,0.0,0.0,24567.378025900332,0.015630483627319336,0
28000,0.000718930795849972,5.809976577758789,5.809976577758789,333.6113116584449,8.382024396413636,,,,1.565073084294577,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
29000,0.0007446068957017567,5.786754608154297,5.786754608154297,325.95345925521895,8.348522176025561,,,,1.5116323256487938,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
30000,0.0007702829955535414,6.466677188873291,6.466677188873291,643.3424659281434,9.32944311141728,5.686524200439453,294.86700439453125,8.203920263869076,1.4550324494960953,0.0,0.0,0.0,0.0,0,0.0,0
31000,0.0007959590954053262,6.95117712020874,6.95117712020874,1044.378363790121,10.028428759665976,,,,1.5953004610156103,0.0,0.0,0.0,0.0,0,0.0,0
32000,0.0008216351952571109,6.424973011016846,6.424973011016846,617.0641633837942,9.269276700839434,,,,1.4337465628190658,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
33000,0.0008473112951088956,6.510556221008301,6.510556221008301,672.2002055031975,9.392747173477465,,,,1.3654839276364126,0.0,0.0,0.0,0.0,24567.378025900332,0.015630483627319336,0
34000,0.0008729873949606802,6.32398796081543,6.32398796081543,557.7930195236528,9.12358606970993,,,,1.5066352445629496,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
35000,0.0008986634948124649,5.697129249572754,5.697129249572754,298.01065758464296,8.219220115662074,5.732214641571045,308.6520080566406,8.269837636705654,1.4510752405720102,0.0,0.0,0.0,0.0,24567.003294691884,0.015630722045898438,0
