step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1769206653.9554687,628.4000854492188,10.639533996582031,595.5651245117188,22.195438385009766,0.0,,,41753.30949931565,15.34960293423843,,,0.00390625512227416,0,8.65883731842041,0,3.2986762523651123,0.19993016123771667,,,,,,,,,0.0025,0,0.0005,0.0025,445.3200555739007,435.2191162109375,0.04937494918704033,0.31259679794311523,1637.8926571511815
100,1769206668.581365,412.1717834472656,9.851436614990234,392.3543395996094,9.966014862060547,0.0,,,18985.61023183452,14.212618750078368,,,0.00390625512227416,0,6.103877544403076,0,3.7585582733154297,0.1297369748353958,,,,,,,,,0.005,0,0.001,0.005,207.8240075391239,202.23562622070312,0.06416986882686615,0.31259799003601074,1637.8864110451207
150,1769206683.2137175,332.315185546875,8.863743782043457,320.5814514160156,2.8699965476989746,0.0,,,7070.905181631436,12.787679198064481,,,0.00390625512227416,0,5.460339546203613,0,3.8143887519836426,0.1270633190870285,,,,,,,,,0.004999999254941941,0,0.0009999998509883882,0.004999999254941941,161.02141504747797,157.7570037841797,0.09958221018314362,0.30369997024536133,1685.8743831497634
200,1769206697.8455884,227.88565063476562,7.717441558837891,218.6242218017578,1.5439854860305786,0.0,,,2247.2028832669935,11.133914665285817,,,0.00390625512227416,0,5.938623905181885,0,3.8017830848693848,0.12139382213354111,,,,,,,,,0.004999996870756149,0,0.0009999993741512299,0.004999996870756149,136.1140789249466,132.36416625976562,6.379559636116028e-08,0.31252241134643555,1638.282508426062
250,1769206712.5347092,179.1346893310547,7.444581031799316,170.57557678222656,1.1145259141921997,0.0,,,1710.5684682066167,10.740260136072916,,,0.00390625512227416,0,6.239300727844238,0,3.870399236679077,0.11018408834934235,,,,,,,,,0.004999992996454239,0,0.0009999985992908478,0.004999992996454239,127.91222208014896,123.15771484375,1.30385160446167e-08,0.2969679832458496,1724.0915818730962
300,1769206727.1880543,169.12350463867188,7.569008827209473,160.5633544921875,0.9911421537399292,0.0,,,1937.2192106885211,10.919771499459895,,,0.00390625512227416,0,6.434959411621094,0,3.8584625720977783,0.11180725693702698,,,,,,,,,0.004999987632036209,0,0.0009999975264072419,0.004999987632036209,126.91082632833108,122.74398803710938,1.862645149230957e-09,0.31259775161743164,1637.8876602625216
350,1769206741.8304029,168.2574462890625,7.5116167068481445,159.81016540527344,0.9356668591499329,0.0,,,1829.1683826687683,10.836972172028505,,,0.00390625512227416,0,6.45319128036499,0,3.889991283416748,0.10873840749263763,,,,,,,,,0.00499998077750206,0,0.000999996155500412,0.00499998077750206,153.6215134550893,149.8911590576172,3.166496753692627e-08,0.31259775161743164,1637.8876602625216
400,1769206756.4690664,165.3765106201172,7.738890647888184,156.7826385498047,0.8549836874008179,0.0,,,2295.9239817287485,11.164859159690259,,,0.00390625512227416,0,6.599343299865723,0,3.8780059814453125,0.10872945934534073,,,,,,,,,0.00499997228384018,0,0.0009999944567680359,0.00499997228384018,132.93162063032815,127.48588562011719,6.05359673500061e-09,0.2969675064086914,1724.0943502262414
450,1769206771.2844324,148.28001403808594,7.564335823059082,139.9484100341797,0.7672728300094604,0.0,,,1928.1876958649534,10.913029779546074,,,0.00390625512227416,0,6.689826965332031,0,3.8872249126434326,0.10685325413942337,,,,,,,,,0.004999962151050568,0,0.0009999924302101135,0.004999962151050568,112.44340039380462,107.75862884521484,1.4901161193847656e-08,0.2969675064086914,1724.0943502262414
500,1769206786.2116613,133.37490844726562,7.247358798980713,125.43570709228516,0.6918463706970215,0.0,,,1404.3906673526396,10.455728598832469,,,0.00390625512227416,0,7.0727858543396,0,3.82940411567688,0.1065773069858551,,,,,,,,,0.0049999506771564485,0,0.0009999901354312897,0.0049999506771564485,98.51424160314828,92.98487091064453,4.7730281949043274e-08,0.31184840202331543,1641.8233881529404
