token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50
0,punct,-0.011142252,-0.006993084,0.055064514,0.016522978,0.021833505,0.014031519,-0.011766091,0.002489441,0.029755373,0.025036015,0.011639128,0.0050916015,-0.019630773,-0.009834225,0.0013323337,0.015687125,0.026556658,0.003805149,-0.04139914,-0.021914793,0.05504636,-0.019243512,-0.013647714,-0.036850423,0.008502883,-0.010827876,0.012107956,-0.011831667,-0.006201564,0.021073341,-0.004962752,0.017620223,-0.049964618,0.00905259,0.0124235945,0.010181591,0.013626473,-0.0028019522,-0.0009810461,-0.012161954,-0.005893465,-0.021968802,-0.006287388,0.019725787,0.036286958,-0.038598362,0.029174678,-0.0057430333,0.0029861622,0.0031204978,-0.0022837245
1,punct,0.015238681,0.0433396,-0.02814129,-0.0015713181,0.025055286,0.026229551,0.023274511,0.020313129,0.013667031,-0.030807704,0.016607646,0.03265232,0.008409752,-0.009819175,-0.01198954,-0.025269682,0.022711532,0.020811357,-0.0005168533,0.0046514464,0.008137901,0.010604319,0.020154357,-0.014093621,-0.0042586676,-0.020497808,0.00071528356,0.007302051,0.024235465,0.04309624,-0.004828662,-0.0350577,-0.011985668,0.02245923,0.038988028,-0.028760692,-0.02071279,-0.010634365,0.013234299,-0.016962588,-0.022691866,-0.023292085,-0.009504974,0.016108343,0.0011810141,0.016853178,0.0023408683,0.020076599,-0.020916075,-0.008009003,0.004696599
2,punct,-0.013907834,-0.00834982,-0.04307849,-0.000610446,0.010524892,-0.013857343,0.0024936055,-0.018848894,0.0046456475,0.00020385893,-0.021959614,0.017388253,0.002459072,-0.031112505,-0.033475816,-0.01172275,0.022357553,-0.034073364,-0.0052664597,0.003621302,-0.0036202802,-0.007545254,0.007947628,-0.00398327,-0.02917764,0.012428206,0.01947761,-0.012203876,0.0009068922,0.005208018,-0.017204834,0.004792606,0.0014428392,-0.0009599892,-0.0054776547,0.010737625,-0.006105428,-0.020677106,0.030959759,-0.029338056,0.0005923839,0.005692838,-0.010040542,-0.02325333,-0.021770729,-0.02124378,0.0029059022,0.0025222194,-0.023974227,-0.025556814,0.019439204
3,punct,0.030096678,0.032502897,0.03310561,-0.008695088,-0.029329507,-0.029463414,-0.007293005,0.0012850038,0.009693694,0.023986368,-0.023443848,-0.029877529,-0.0068315375,0.0073469495,0.031710833,0.011926498,0.03604448,0.0050926623,0.06625431,0.01184642,-0.016686084,-0.0082125785,0.011884693,-0.010205018,0.013083396,-0.0047093034,-0.03374561,-0.012785355,0.00950797,0.029476695,0.0070930044,0.057536878,-0.01693827,-0.004423523,-0.0024894462,-0.022616455,-0.0025380363,-0.029996797,0.03134374,0.027569987,0.035148237,-0.0067797666,-0.0040063476,0.023414053,0.032000918,-0.004243745,0.019480135,0.009444221,-0.021252772,0.015689116,0.0032262728
4,punct,0.050462194,0.011773784,-0.010470267,-0.0075187343,-0.002652195,-0.009863489,-0.010376335,-0.013132711,-0.032198165,0.0116140945,0.0067089107,0.014746311,-0.003566967,-0.0050183255,0.013912733,-0.017346274,-0.0141843725,-0.005395915,0.021325788,-0.040256776,0.035208855,0.008926441,0.0067207236,-0.03021939,0.016539907,0.0022502572,-0.0024339184,-0.00230536,0.01091321,-0.009494459,-0.0024063606,0.019102203,0.0069519933,-0.03912826,0.00649934,0.0065476107,0.030685637,0.0025393867,-0.014856572,0.028102597,-0.0043088025,-0.008428424,-0.0026014047,0.0057790303,0.007901611,0.02112521,-0.02050237,0.0057791853,-0.0006325492,0.026107443,-0.010775015
5,punct,-0.0032417031,0.0019934194,0.033424083,0.019671785,-0.03528838,-0.00015308535,0.027485985,-0.0003757099,-0.013890634,-0.0023321526,-0.01995314,0.045418575,0.027047943,-0.028628582,0.012705208,0.002241286,0.013960238,0.009613303,0.013111286,0.0035236054,0.030666811,-0.018643122,-0.011960207,-0.00429567,-0.015974456,0.028974073,0.011147091,-0.0023228372,0.018369913,0.008986496,0.02521686,-0.028180456,-0.021205062,0.040881496,-0.03181755,0.01461263,0.022402214,-0.008791636,-0.012174798,-0.037269685,-0.00011284222,-0.00953779,0.001581934,0.029205633,-0.020971326,0.015015751,-0.012851456,-0.019297011,-0.019515518,-0.0010809588,0.005962065
6,punct,-0.021167707,-0.014433342,-0.003094943,0.0037545103,-0.00083022704,0.020513559,-0.015247863,-0.0049304687,0.0148606235,0.016442908,-0.030893685,-0.017870743,0.036978263,-0.018128978,-0.01572297,0.034315277,-0.014937249,0.020043502,-0.0045832093,0.007592468,-0.0093442695,0.026649844,-0.013918804,0.0022267804,-0.011403629,-0.008449627,0.024293555,-0.014359169,0.026762774,0.008593841,0.004235009,-0.025308823,-0.028520824,-0.02757301,-0.014752879,0.021632642,-0.021243064,0.009332776,0.01957074,-0.028511664,0.0088154655,-0.010745597,-0.0050624222,-0.015020607,-0.008615012,0.004901125,-0.012908502,-0.02404788,-0.014019665,-0.016413692,-0.015231852
7,punct,-0.012782056,-0.01441475,0.008118484,0.02140031,-0.046500057,0.023688223,-0.05307101,-0.02333384,-0.041981824,0.032840792,-0.023845749,-0.009947994,0.013113752,0.028736034,-0.027473489,0.0068972497,-0.018652357,-0.0082444735,0.006114764,-0.013843594,-0.014563302,-0.006733753,-0.027831111,0.017300732,0.023948397,-0.005051255,0.0036284863,-0.024334298,0.005320388,-0.021393524,-0.029228372,-0.0054063774,-0.028045736,-0.018711047,-0.024223149,0.009299522,-0.005898133,-0.0029415907,-0.028603656,-0.015775828,0.041544266,-0.040881366,-0.013465673,0.006704976,0.007382331,0.006217557,0.008111431,-0.018972341,0.0009133639,0.0244808,0.0007220986
8,punct,0.0035677971,0.0048518996,-0.027293371,-0.045105934,0.002431293,0.017054098,-0.0104128,-0.009866814,0.010699938,-0.0010930885,0.013221221,0.0053071147,0.03178462,-0.00010383224,-0.016411,0.005954623,-0.032631457,-0.015024434,0.040597234,0.052445218,0.0182998,0.029238764,0.0064913533,-0.009096222,0.012150248,0.023992816,0.009535046,-0.023315951,-0.022751983,-0.04185142,-0.029241553,0.0038651887,-0.009794984,-0.02033686,0.031195771,-0.01843909,-0.01650518,-0.0052511874,0.007201819,-0.0026606068,0.025427641,0.04695527,-0.006707999,-0.01321026,-0.034943357,0.031707898,0.0057382737,0.035516523,0.02682905,-0.021391707,0.012064872
9,punct,-0.013121581,-0.020864721,0.024195205,-0.0031661545,-0.04142315,0.01008856,0.007528911,0.01687522,0.00030006605,0.018158397,-0.0114622805,0.011352854,-0.020116115,-0.009856458,-0.0057246946,0.011367206,-0.029495718,0.03364636,-0.009485855,0.0013675685,0.024810493,-0.021401884,0.005185668,0.034728356,-0.008845252,0.006409984,-0.01597427,0.03595307,0.015917143,0.01761565,-0.032751407,0.00921411,0.018102331,-0.014833664,0.011002422,0.0039782478,-0.022586562,0.029508373,-0.0047073425,0.010474177,0.011713552,-0.02435096,-0.016034296,-0.013812059,0.023155266,-0.03849142,0.0007883109,-0.030370891,0.014658136,-0.018755965,0.02330551
