token_id,category,phi_0,phi_1,phi_2
0,punct,-0.012794699,0.0009484271,0.01849007
1,punct,-0.048537087,0.0002871256,-0.01888705
2,punct,-0.009011285,0.0038455732,-0.0030331516
3,punct,0.0258307,-0.012192863,-0.0041492963
4,punct,0.005588242,-0.014468074,0.0062480145
5,punct,0.00460167,0.032255396,0.007958518
6,punct,0.021790177,-0.022050083,0.00011256478
7,punct,-0.006179468,-0.037359927,-0.014187555
8,punct,0.036167163,0.0039713676,-0.012354548
9,punct,-0.0038132267,-0.02196342,0.041030135
10,punct,-0.021962808,0.013212583,-0.008083599
11,punct,0.00700059,0.007945495,-0.005919412
12,punct,0.006965589,0.01160369,-0.002836981
13,punct,0.019986216,0.017278811,0.011764335
14,punct,0.0066844574,0.021135096,0.0065811793
15,digit,-0.016888497,-0.028207373,-0.01682263
16,digit,0.041752327,-0.008206313,-0.008898511
17,digit,-0.023778532,0.0103282835,-0.026509136
18,digit,-0.0029553631,0.0011034416,-0.019933496
19,digit,0.0021967348,0.022579383,-0.008376882
20,digit,-0.008830163,-0.0014806784,-3.701906e-05
21,digit,-0.036541108,-0.010805985,-0.00882156
22,digit,0.021593476,-0.008049941,-0.001283105
23,digit,0.033571336,0.0012765431,0.031069119
24,digit,0.029414333,-0.0072893216,-0.0027331703
25,punct,0.0050752615,0.01030434,0.015845826
26,punct,-0.005237906,0.042446043,0.017163271
27,punct,-0.000760149,-0.025898483,-0.0024524345
28,punct,0.016001187,-0.031089587,-0.0074381884
29,punct,-0.004868139,0.036322117,0.026644709
30,punct,-0.06138276,-0.0043623396,0.018771466
31,punct,4.348323e-06,0.021070246,-0.025995012
32,letter,-0.03821416,0.0054514753,0.00052115374
33,letter,0.014059714,0.010962682,-0.0094331335
34,letter,0.020250566,0.0034023088,-0.022363521
35,letter,0.02953745,0.0046479153,0.02915634
36,letter,-0.0038647994,0.024105573,-0.014783613
37,letter,-0.017019372,0.027637077,0.033609163
38,letter,0.01221759,0.0052951784,0.00721422
39,letter,0.03610933,-0.020714296,0.016368967
40,letter,-0.012686148,0.028946184,-0.0015993917
41,letter,-0.0023411214,0.019622015,0.018592583
42,letter,0.025056928,-0.011594945,-0.014607912
43,letter,-0.0059506157,-0.013738535,-0.0001753981
44,letter,-0.0009974259,0.0041099153,-0.0012230373
45,letter,0.036245055,-0.019100796,0.0034573197
46,letter,0.07245757,-0.028134653,-0.025252657
47,letter,-0.0028203707,-0.003402342,0.036613915
48,letter,-0.03651905,-0.0048518754,0.025761742
49,letter,0.027715705,-0.0016888375,-0.0067693964
50,letter,0.024914457,0.014805451,-0.04313016
51,letter,0.006735219,0.0021513312,0.025177455
52,letter,-0.032890677,-0.021385895,0.007016178
53,letter,-0.032301497,-0.0006922471,0.023026252
54,letter,0.036809765,-0.0042561335,-0.007969403
55,letter,0.030043742,0.02786512,-0.013310815
56,letter,-0.014039071,0.028591558,0.008199599
57,letter,0.009628865,-0.02093568,0.029156746
58,punct,-0.031822473,-0.015831176,-0.017619412
59,punct,0.054867838,-0.0012510628,2.2750397e-05
60,punct,0.0071547376,-0.03357973,0.02552393
61,punct,0.010791055,0.031757638,-0.024132723
62,punct,0.049630746,0.005215766,0.0036297722
63,punct,-0.05904638,-0.00926495,-0.02339263
64,letter,-0.021302363,0.012094435,0.010171129
65,letter,0.008626428,0.005414006,0.031422254
66,letter,0.010675609,-0.030833418,0.032882996
67,letter,-0.010557788,-0.006960548,-0.010700346
68,letter,-0.015561036,-0.008119052,0.029099915
69,letter,0.012168877,-0.020041058,-0.025478859
70,letter,-0.031688094,-0.0015793594,-0.03682422
71,letter,0.029046152,0.01455959,-0.036777698
72,letter,-0.01583647,-0.0072215274,0.0010422872
73,letter,0.016570954,-0.014411739,-0.02923954
74,letter,0.028719626,-0.013271658,0.023807501
75,letter,0.007228842,0.008090672,0.015690181
76,letter,-0.015257914,0.006019824,0.0027423238
77,letter,0.05682913,-0.020287514,0.03860682
78,letter,-0.004275358,-0.018453691,-0.0061897826
79,letter,-0.011669301,-0.018975547,-0.016233813
80,letter,0.030017827,0.015428199,0.03350515
81,letter,-0.03305566,0.009502586,0.025328133
82,letter,-0.0040755114,-0.0048064673,-0.0003930261
83,letter,-0.0008310075,-0.0031554946,-0.0055225343
84,letter,0.00088194147,0.011186537,0.00026866412
85,letter,0.013317306,0.00019137691,0.04362611
86,letter,-0.010111839,0.02706653,-0.007583689
87,letter,0.011554239,0.013799148,-0.008094701
88,letter,0.031340335,0.016949456,-0.006694677
89,letter,-0.02297521,-0.0071303197,0.00033376753
90,punct,0.016203472,0.003921822,-0.017588193
91,punct,0.027966527,-0.0027508289,0.028318038
92,punct,0.0040350626,-0.016733766,0.029100318
93,punct,0.014690391,-0.0039007578,0.009950301
94,punct,0.0097591495,0.027242739,0.0014312195
95,punct,-0.014703976,0.011988961,0.008272585
96,punct,6.0318664e-05,0.017306136,-0.030760624
97,punct,0.00533421,-0.010529882,-0.027951429
98,punct,-0.013434099,0.04618938,0.011769114
99,punct,0.015877314,-0.01252418,-0.0004149714
100,punct,0.041805804,-0.018291516,0.004405589
101,punct,0.010918307,-0.017180165,-0.0125289
102,punct,-0.005647839,-0.004235129,-0.019009305
103,punct,-0.03119816,-0.0017433403,0.01212384
104,punct,-0.029663954,0.009926656,-0.0044358172
105,punct,-0.03887103,-0.025766335,-0.037914976
106,punct,0.00573991,-0.031880643,0.009350649
107,punct,0.007576296,0.015736105,0.007384388
108,punct,0.009309596,-0.0018618698,-0.00032485387
109,punct,0.0319927,-0.0030463745,-0.0030794572
110,punct,-0.00020854089,-0.02315207,-0.0206128
111,punct,-0.0007383734,-0.024904218,-0.012593453
112,punct,0.0065892553,-0.03382637,-0.014663185
113,punct,-0.01724303,-0.0035805814,-0.012927238
114,punct,-0.025551476,-0.009868646,-0.0077775232
115,punct,0.010422094,0.004913558,-0.028827852
116,punct,-0.03311093,0.0016902138,-0.0021304293
117,punct,-0.0063964725,0.020185875,0.0026984229
118,punct,-0.043814376,-0.029887514,-0.008242661
119,punct,-0.033041008,-0.01680898,0.012029613
120,punct,0.0005011482,-0.019809686,-0.005317226
121,punct,0.053004935,-0.02776284,0.0032013755
122,punct,0.0015882523,0.04073017,0.01687896
123,punct,0.0043025315,0.05364045,0.02810321
124,punct,-0.014011048,-0.022919854,0.012111741
125,punct,0.0018388386,-0.011173938,0.012191413
126,punct,0.009677834,0.052563112,-0.04093367
127,punct,0.033702068,-0.0070090774,-0.0096819075
128,punct,0.002753148,-0.01692839,-0.0027272995
129,punct,0.011102061,-0.0213721,0.013763645
130,punct,-0.008760133,0.01624447,-0.01658892
131,punct,-0.011123042,-0.01769863,0.009597629
132,punct,0.007522708,0.0037538924,-0.010818381
133,punct,-0.0040910067,0.018309308,0.0029052526
134,punct,-0.021220999,-0.025529029,0.02521729
135,punct,-0.020572385,0.002127821,-0.0054650716
136,punct,-0.012607647,0.004168999,0.0038049247
137,punct,-0.002842433,0.00781802,-0.041470464
138,punct,0.030802501,0.0090486845,-0.0071227704
139,punct,-0.0060847285,-0.021831347,-0.009514681
140,punct,-0.0318091,-0.016095664,-0.02426961
141,punct,0.004859097,0.012749694,-0.0062505286
142,punct,0.04473188,-0.0038972765,-0.0072374092
143,punct,0.0029709444,-0.013088406,0.019080888
144,punct,-0.007927496,0.02605007,0.016390292
145,punct,0.029494492,0.0050325864,-0.023288798
146,punct,-0.0014819556,-0.0060935407,-0.024959242
147,punct,0.043780144,-0.002216258,-0.0064070867
148,punct,-0.00837624,-0.012392438,0.019680154
149,punct,-0.012945213,0.016952476,1.1176953e-05
150,punct,-0.010913503,0.004322377,-0.018436441
151,punct,-0.008612596,-0.028325247,0.019951755
152,punct,0.026828915,0.02761166,0.012723075
153,punct,-0.013261771,0.018183123,-0.014789936
154,punct,-0.022303429,0.01229287,-0.022524336
155,punct,-0.003737415,-0.031382043,0.03968592
156,punct,-0.05633002,0.0006090052,-0.028745934
157,punct,0.026250806,-0.006302957,0.01664008
158,punct,-0.039449703,0.012591708,-0.0025535694
159,punct,-0.043092538,-0.004690948,-0.008947555
160,punct,-0.0029232388,0.0048882556,-0.011313609
161,punct,-0.028283533,-0.03871267,-0.00958273
162,punct,-0.026047204,0.009603005,-0.03322229
163,punct,0.013107358,-0.014276652,0.02132558
164,punct,-0.028070165,-0.0056749443,-0.0076385443
165,punct,-0.0056936,0.0073675876,0.020562554
166,punct,0.004882993,0.00040557413,-0.010510049
167,punct,0.011135957,0.0066747614,-0.026954439
168,punct,0.004649273,-0.006413563,-0.037231106
169,punct,-0.009443917,-0.02559521,-0.023746554
170,punct,0.01918,-0.017729962,-0.019708004
171,punct,0.014917138,0.007801736,-0.02793842
172,punct,-0.020600474,-0.0022723824,-0.0055062734
173,punct,0.005653313,0.0058038076,0.020417172
174,punct,0.012918371,-0.023908019,-0.009576277
175,punct,-0.0055414406,-0.022367498,0.009269075
176,punct,0.012225978,0.0013452959,0.016514102
177,punct,0.007406776,-0.0018188369,-0.039040554
178,punct,-0.013268979,-0.0048319893,0.05182321
179,punct,-0.017842641,0.0046447543,0.010365365
180,punct,-0.023350643,-0.008646452,0.037767015
181,punct,-0.010289234,0.0041259634,-0.041547213
182,punct,-0.026875399,0.011910317,0.004773428
183,punct,0.0060683712,0.018521879,-0.0046966826
184,punct,-0.0042779627,0.012295012,0.01935576
185,punct,-0.04052594,0.00056302064,-0.0035862206
186,punct,0.008956974,-0.022846527,-0.019086637
187,punct,-0.017494364,-0.010036516,0.0020130903
188,punct,-0.019556362,0.012218744,-0.021185486
189,punct,0.018553698,-0.004406517,-0.017203916
190,punct,-0.009195573,-0.027000267,0.047954407
191,punct,0.037722092,0.000766379,0.011692004
192,punct,0.005607731,-0.008409885,-0.023451205
193,punct,-0.016438533,0.0070160385,0.012818873
194,punct,0.02179159,0.009718535,-0.005982293
195,punct,-0.007551142,-0.021734403,0.015571333
196,punct,0.033056118,-0.008933844,0.0072696786
197,content,-0.04409288,-0.01715758,0.014085993
198,content,-0.016493393,0.010981952,0.0064814095
199,content,-0.009557566,-0.0019805236,-0.029943781
200,content,0.0058992314,-0.0023546366,-0.002018083
201,content,-0.0088808555,-0.0035968688,0.01795588
202,punct,-0.008053308,0.009974328,0.0022424255
203,punct,0.010572195,0.008600261,0.029093547
204,punct,0.027450766,0.0038697633,0.020479117
205,punct,-0.036865752,-0.0042984304,-0.037186723
206,punct,0.005119,-0.0052417605,-0.033260137
207,punct,0.039885197,0.023375725,-0.042748198
208,punct,-0.047100313,0.012901734,0.00975983
209,punct,0.027345963,0.00934671,0.0012791082
210,punct,0.0010257055,0.01048457,0.014656075
211,punct,-0.021304302,-0.015120141,-0.016551588
212,punct,0.005859374,-0.017098336,-0.0070366464
213,punct,0.039177753,-0.026950939,-0.033096254
214,punct,-0.0037043185,0.0014964502,0.018017972
215,punct,-0.029441062,0.006140837,-0.039539915
216,content,-0.040936366,-0.042984456,-0.012669194
217,content,0.008025212,-0.009201707,0.0014279209
218,content,0.0056262,0.031131277,0.013070939
219,content,-0.015523397,0.005314291,0.04092392
220,content,0.0039790613,-0.020169212,-0.007504339
221,punct,0.012327536,0.012276383,0.005506099
222,punct,0.016575031,0.020622024,-0.013224994
223,punct,0.013345768,-0.019183036,-0.02043393
224,punct,-0.034505885,-0.026717683,-0.015191252
225,punct,-0.007848843,0.021616368,-0.046867564
226,punct,-0.0031310492,-0.01892533,-0.008029715
227,punct,-0.0066219848,-0.0036281894,-0.0028767334
228,punct,-0.0114187645,-0.009498858,0.01746766
229,punct,0.024419999,-0.015244126,-0.0018277845
230,punct,0.037493564,-0.0070105814,0.019532489
231,punct,0.027707763,-0.0271389,0.016459573
232,punct,0.04661811,-0.0392392,-0.01939739
233,punct,0.008887893,-0.0016507698,-0.0359145
234,punct,0.015472584,0.011050039,0.009681947
235,punct,0.0018059112,0.027794544,0.015977936
236,punct,0.0028889736,0.03400567,-0.012599252
237,punct,0.0033172374,0.005620974,0.01731937
238,punct,0.029109217,0.005778057,0.005305755
239,punct,0.005429955,0.01167741,-0.038098436
240,punct,-0.0528864,-0.016403452,0.010767053
241,punct,-0.012243307,0.022271497,0.010610649
242,punct,-0.014118945,0.008933883,0.024201877
243,punct,-0.014809082,-0.033671163,-0.012635251
244,punct,0.0065394323,0.0010062924,0.013183012
245,punct,0.0010005621,-0.00964075,-0.007716188
246,punct,-0.02284373,0.031803157,0.0071789366
247,punct,0.0156843,0.010029597,-0.0055775153
248,punct,0.005736396,-0.016642611,0.033662524
249,punct,-0.0072342143,0.0037746402,0.030497914
250,punct,0.009642077,0.034722533,0.0075433794
251,punct,0.002728559,-0.004617946,0.012735679
252,punct,-0.041767277,0.0013605391,0.040832195
253,punct,0.017454563,0.017189179,0.022627346
254,punct,-0.014438059,0.03690169,0.035098508
255,punct,-0.010798922,-0.008218008,0.0015205696
256,content,-0.017869847,-0.016902395,0.012485322
257,function,0.05246581,0.0014475036,-0.021155946
258,content,0.028175384,-0.034854375,0.009661404
259,function,-0.0073332735,0.001999519,0.047761194
260,content,-0.03169763,-0.015247979,-0.009260133
261,content,0.019826462,0.032431483,0.004747955
262,function,-0.002881693,-0.017045211,-0.018774394
263,content,-0.0058605424,-0.035097893,-0.014518841
264,content,-0.026642283,-0.045562293,-0.009887551
265,content,-0.012715101,0.02051244,0.009125707
266,content,0.0071243118,0.01675474,-0.010088805
267,content,0.045311484,-0.02009877,0.002905367
268,content,0.030212194,-0.004562547,0.020989818
269,content,-0.01450603,0.024143292,0.0066437856
270,content,-0.00890864,-0.01284406,0.00031733187
271,function,-0.018527435,-0.012957473,-0.0004634397
272,function,-0.023946183,-0.030339187,0.018004125
273,function,-0.0012482231,0.009805268,-0.0029822402
274,content,0.0013449674,0.0062083523,0.02601783
275,content,0.022015508,0.00060065766,0.012767521
276,content,0.0070025497,-0.031369653,0.0075232857
277,content,0.0071345367,7.015651e-05,-0.024469702
278,content,0.025589425,-0.01094572,0.013504152
279,content,0.021725833,0.00036646894,-0.02430676
280,content,-0.019451048,0.037599657,-0.0027667775
281,function,0.015362936,-0.023193339,-0.03226195
282,content,0.004025807,-0.018797258,-0.008492269
283,content,0.005091293,-0.028295545,-0.0059300307
284,function,0.01764828,0.013543559,-0.008322646
285,content,-0.012530397,-0.012964391,0.007974503
286,function,0.030702882,0.01043895,-0.015758157
287,function,0.008684132,-0.01155117,-0.02173935
288,content,-0.011938228,-0.0065715965,-0.055847734
289,content,0.0060072476,0.0037931835,-0.0145641
290,function,0.01014044,0.0027244464,0.019549048
291,content,0.010376812,0.013807086,0.011257422
292,content,0.002053806,0.0036821358,0.06081527
293,content,-0.016349073,-0.0010334569,-0.009625664
294,content,0.007558263,0.020972332,-0.01756172
295,content,-0.03916604,0.014971889,0.0052142246
296,content,0.013251869,0.009279409,-0.0030976944
297,content,0.0048610508,0.0098272795,-0.0056139687
