step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1768942671.20444,3900.17919921875,10.671550750732422,3868.197265625,21.310279846191406,0.0,,,43111.7452570788,15.39579334667656,,,0.0039062583819031715,0,40.952125549316406,0,1.0379109382629395,0.5796384215354919,,,,,,,,,0.0025,0,0.0005,0.0025,3558.1840663195285,3339.628173828125,0.02883310057222843,0.42200708389282227,1213.249775991991
100,1768942691.2893357,1427.4453125,9.706401824951172,1409.099853515625,8.639095306396484,0.0,,,16422.40475280688,14.00337777773264,,,0.003906257450580597,0,23.402130126953125,0,1.6504042148590088,0.3949396014213562,,,,,,,,,0.005,0,0.001,0.005,1236.7453222096674,1122.2674560546875,0.06331101804971695,0.42200660705566406,1213.2511468771045
150,1768942711.1067724,409.9652099609375,8.776718139648438,399.58697509765625,1.6015112400054932,0.0,,,6481.57062027018,12.66212773535101,,,0.003906254656612873,0,8.342018127441406,0,2.383769989013672,0.22526401281356812,,,,,,,,,0.004999999254941941,0,0.0009999998509883882,0.004999999254941941,246.6913316319291,217.78997802734375,0.06964725255966187,0.42200708389282227,1213.249775991991
200,1768942730.665152,318.7607727050781,7.797311782836914,310.17059326171875,0.7928823828697205,0.0,,,2434.049920122412,11.249143041363899,,,0.003906254656612873,0,6.1405134201049805,0,2.667283296585083,0.19287171959877014,,,,,,,,,0.004999996870756149,0,0.0009999993741512299,0.004999996870756149,146.28539918992826,131.86331176757812,0.028352541849017143,0.42200732231140137,1213.249090550596
250,1768942750.2575758,239.08839416503906,7.559737682342529,231.03179931640625,0.4968557357788086,0.0,,,1919.3419700428271,10.906396064736994,,,0.003906254656612873,0,5.954840660095215,0,2.756927251815796,0.16653016209602356,,,,,,,,,0.004999992996454239,0,0.0009999985992908478,0.004999992996454239,124.99099581169669,114.5700454711914,0.06314322352409363,0.4376368522644043,1169.9197573303727
300,1768942769.856525,229.2721405029297,7.77353572845459,221.07620239257812,0.42240214347839355,0.0,,,2376.860381721932,11.214841445614613,,,0.003906254656612873,0,6.205412864685059,0,2.785598039627075,0.1679101139307022,,,,,,,,,0.004999987632036209,0,0.0009999975264072419,0.004999987632036209,143.70475154103914,135.8603973388672,0.039659202098846436,0.43764662742614746,1169.8936263056194
350,1768942789.5593555,178.7225341796875,7.5743560791015625,170.7330322265625,0.41514769196510315,0.0,,,1947.6057547633814,10.927485953246997,,,0.003906254656612873,0,6.401074409484863,0,2.804185390472412,0.16168072819709778,,,,,,,,,0.00499998077750206,0,0.000999996155500412,0.00499998077750206,120.22073856987846,112.45047760009766,0.04034983366727829,0.45326733589172363,1129.576211338349
400,1768942809.5790794,152.53665161132812,7.794338226318359,144.35855102539062,0.38376325368881226,0.0,,,2426.822885439133,11.244853106120777,,,0.003906255587935448,0,6.744614124298096,0,2.752141237258911,0.16173279285430908,,,,,,,,,0.00499997228384018,0,0.0009999944567680359,0.00499997228384018,174.03426800091117,170.3539276123047,0.10397733747959137,0.45326709747314453,1129.57680549565
450,1768942829.568741,130.1966094970703,7.408048629760742,122.43730926513672,0.3512570858001709,0.0,,,1649.2049953156184,10.687555020820104,,,0.003906255587935448,0,6.8501763343811035,0,2.7377288341522217,0.16116119921207428,,,,,,,,,0.004999962151050568,0,0.0009999924302101135,0.004999962151050568,93.80795395287939,86.2455062866211,0.0276609156280756,0.42200756072998047,1213.2484051099757
500,1768942849.792166,126.16242980957031,7.522721290588379,118.28939056396484,0.35031658411026,0.0,,,1849.5937337698635,10.852992699921677,,,0.003906255587935448,0,6.454988956451416,0,2.839386463165283,0.15339887142181396,,,,,,,,,0.0049999506771564485,0,0.0009999901354312897,0.0049999506771564485,131.00261478269502,125.66777801513672,0.08126062154769897,0.4376378059387207,1169.9172079107163
550,1768942869.4929712,113.09829711914062,7.208293914794922,105.58128356933594,0.30871760845184326,0.0,,,1350.5860857234109,10.399369884144726,,,0.00390625512227416,0,7.316184997558594,0,2.7008676528930664,0.15288101136684418,,,,,,,,,0.004999937564134598,0,0.0009999875128269195,0.004999937564134598,80.53012567413026,74.20487976074219,0.03498610109090805,0.42200589179992676,1213.2532032105835
600,1768942889.1368122,118.71414184570312,7.128612041473389,111.27578735351562,0.30974772572517395,0.0,,,1247.1447798583138,10.284413240655008,,,0.003906255587935448,0,7.2472124099731445,0,2.7641873359680176,0.1520533561706543,,,,,,,,,0.004999922811985016,0,0.0009999845623970033,0.004999922811985016,85.15870349524924,81.02103424072266,0.15326619148254395,0.43764519691467285,1169.8974502851086
650,1768942908.7313836,117.84062194824219,7.367502212524414,110.157470703125,0.31565195322036743,0.0,,,1583.673159722183,10.629058905747439,,,0.003906255587935448,0,7.068916320800781,0,2.7162487506866455,0.16193915903568268,,,,,,,,,0.004999906569719314,0,0.000999981313943863,0.004999906569719314,100.7604690370552,95.4061508178711,0.16465598344802856,0.42200756072998047,1213.2484051099757
700,1768942928.375453,116.20169830322266,7.1326494216918945,108.78157043457031,0.28747257590293884,0.0,,,1252.1901557189892,10.29023794907443,,,0.003906255587935448,0,6.8334784507751465,0,2.774928569793701,0.1522594690322876,,,,,,,,,0.004999888837337494,0,0.0009999777674674988,0.004999888837337494,100.383645339484,93.73278045654297,0.016742631793022156,0.4376378059387207,1169.9172079107163
750,1768942947.990327,103.41018676757812,7.0929059982299805,96.0290756225586,0.28820592164993286,0.0,,,1203.399801973,10.232900309137976,,,0.003906255587935448,0,6.974488258361816,0,2.8059134483337402,0.15066128969192505,,,,,,,,,0.004999869614839554,0,0.0009999739229679108,0.004999869614839554,64.04156885661074,60.083248138427734,0.009450403973460197,0.4376366138458252,1169.9203946870227
800,1768942967.587792,102.72000122070312,7.008404731750488,95.43264770507812,0.2789454162120819,0.0,,,1105.8889075127702,10.110990751039175,,,0.00390625512227416,0,7.6533989906311035,0,2.651721477508545,0.155552476644516,,,,,,,,,0.004999848753213882,0,0.0009999697506427765,0.004999848753213882,76.09966283420827,67.67945861816406,0.0013092709705233574,0.4376366138458252,1169.9203946870227
850,1768942987.179326,103.75125122070312,7.005522727966309,96.46298217773438,0.2827451825141907,0.0,,,1102.706319814198,10.106832898471916,,,0.003906255587935448,0,7.497128009796143,0,2.6506104469299316,0.15640687942504883,,,,,,,,,0.004999826401472091,0,0.0009999652802944183,0.004999826401472091,111.45073663085027,109.50154113769531,0.0034382473677396774,0.42200708389282227,1213.249775991991
900,1768943006.807258,102.86994934082031,7.153364181518555,95.44275665283203,0.27382802963256836,0.0,,,1278.3994969580654,10.320123030349558,,,0.003906255587935448,0,7.22715425491333,0,2.726005792617798,0.15333601832389832,,,,,,,,,0.0049998024106025695,0,0.000999960482120514,0.0049998024106025695,74.36912987768837,70.93932342529297,1.4815479516983032e-05,0.43747735023498535,1170.3463041571997
950,1768943026.416693,109.17047119140625,7.189767837524414,101.7142333984375,0.2664712071418762,0.0,,,1325.7953699394463,10.37264240433944,,,0.00390625512227416,0,6.694635391235352,0,2.7720587253570557,0.15400663018226624,,,,,,,,,0.004999776929616929,0,0.0009999553859233856,0.004999776929616929,108.45593653517984,101.42381286621094,0.01220325380563736,0.42200684547424316,1213.2504614341606
1000,1768943046.0193,100.8062744140625,6.961028099060059,93.5679931640625,0.27725130319595337,0.0,113.34689025878906,7.117426109313965,1054.7173539418873,10.042640718002675,1233.2718505859375,10.268275351800886,0.003906255587935448,0,7.306064128875732,0,2.6690120697021484,0.16035261750221252,,,,,,,,,0.004999749958515167,0,0.0009999499917030335,0.004999749958515167,65.97194149923969,60.925506591796875,0.004623632878065109,0.4376368522644043,1169.9197573303727
1050,1768943092.853028,109.09146881103516,7.445446968078613,101.36078643798828,0.28523463010787964,0.0,,,1712.0503530177693,10.741509418048784,,,0.003906255587935448,0,7.305212497711182,0,2.6902289390563965,0.15742814540863037,,,,,,,,,0.004999721348285675,0,0.000999944269657135,0.004999721348285675,73.31956664386263,66.85810089111328,0.005291558802127838,0.4376378059387207,1169.9172079107163
1100,1768943112.4747272,106.65664672851562,7.323870658874512,99.0575942993164,0.2751874327659607,0.0,,,1516.0607817094897,10.566111879670444,,,0.003906255587935448,0,7.207812309265137,0,2.7233471870422363,0.15258391201496124,,,,,,,,,0.004999691247940064,0,0.0009999382495880127,0.004999691247940064,96.98617843887794,90.31700897216797,0.026098310947418213,0.4376375675201416,1169.9178452645888
1150,1768943132.101119,98.815185546875,6.9694318771362305,91.56057739257812,0.2851828336715698,0.0,,,1063.618312975024,10.0547648069579,,,0.003906255587935448,0,7.2847795486450195,0,2.696404218673706,0.15442924201488495,,,,,,,,,0.004999659657478332,0,0.0009999319314956665,0.004999659657478332,60.85005528997204,53.893043518066406,0.005219878628849983,0.43372631072998047,1180.4679295067008
1200,1768943151.7136347,106.35698699951172,7.345372200012207,98.73455810546875,0.2770523130893707,0.0,,,1549.0114000551291,10.597132046441267,,,0.00390625512227416,0,6.418461799621582,0,2.8203701972961426,0.1569436937570572,,,,,,,,,0.00499962642788887,0,0.0009999252855777741,0.00499962642788887,102.55674979859133,99.98098754882812,0.08351970463991165,0.4376368522644043,1169.9197573303727
1250,1768943171.3387363,101.1484375,7.235132217407227,93.63800048828125,0.27530789375305176,0.0,,,1387.3243144775654,10.438089370229376,,,0.003906254656612873,0,6.750261306762695,0,2.8046510219573975,0.1505294293165207,,,,,,,,,0.004999591708183288,0,0.0009999183416366578,0.004999591708183288,93.73258048450366,89.14521789550781,0.014242712408304214,0.4376368522644043,1169.9197573303727
1300,1768943190.968803,100.01779174804688,7.141849517822266,92.59918212890625,0.2767619490623474,0.0,,,1263.763582210422,10.303510882137417,,,0.003906255587935448,0,6.796891212463379,0,2.7947330474853516,0.14843842387199402,,,,,,,,,0.004999555498361587,0,0.0009999110996723175,0.004999555498361587,47.85207257003522,43.87196731567383,0.0012053623795509338,0.4376382827758789,1169.9159332050547
1350,1768943210.5701077,115.99036407470703,6.862204551696777,108.83393859863281,0.2942236363887787,0.0,,,955.4711328857862,9.900068476298614,,,0.003906255587935448,0,7.12672233581543,0,2.6859097480773926,0.16017304360866547,,,,,,,,,0.004999517649412155,0,0.000999903529882431,0.004999517649412155,68.12055914721068,49.82999801635742,2.2351741790771484e-08,0.4268147945404053,1199.5835349412437
1400,1768943230.1761951,99.43870544433594,7.122917175292969,92.02568054199219,0.29011064767837524,0.0,,,1240.062642282646,10.27619728545799,,,0.003906254656612873,0,6.640688896179199,0,2.799149990081787,0.15325728058815002,,,,,,,,,0.004999478310346603,0,0.0009998956620693208,0.004999478310346603,114.8554027945629,112.84847259521484,1.0244548320770264e-07,0.42200684547424316,1213.2504614341606
1450,1768943249.806401,99.0024642944336,6.656750202178955,92.06112670898438,0.28458505868911743,0.0,,,778.018421702532,9.603660505120184,,,0.003906255587935448,0,6.989623069763184,0,2.7202978134155273,0.14735445380210876,,,,,,,,,0.00499943733215332,0,0.0009998874664306641,0.00499943733215332,45.8175936444195,30.08738136291504,2.60770320892334e-08,0.42200684547424316,1213.2504614341606
1500,1768943269.4242024,102.97032928466797,7.252274513244629,95.4188232421875,0.2992318272590637,0.0,,,1411.311246447064,10.462820475423447,,,0.003906255587935448,0,6.428581237792969,0,2.7806262969970703,0.16419585049152374,,,,,,,,,0.004999394863843918,0,0.0009998789727687835,0.004999394863843918,110.30650364205044,106.89373779296875,5.21540641784668e-08,0.42200779914855957,1213.2477196701298
1550,1768943289.0577738,93.72958374023438,6.723140716552734,86.73777770996094,0.26866114139556885,0.0,,,831.4246844114466,9.699441770969303,,,0.00390625512227416,0,7.305506706237793,0,2.6491575241088867,0.15632396936416626,,,,,,,,,0.004999350905418396,0,0.0009998701810836792,0.004999350905418396,48.18612737266934,44.11567306518555,1.4901161193847656e-07,0.43764567375183105,1169.8961756225012
1600,1768943308.703663,100.16712188720703,7.07573938369751,92.79574584960938,0.29563552141189575,0.0,,,1182.917807683128,10.208134119483129,,,0.003906255587935448,0,6.543636322021484,0,2.836277484893799,0.1474713683128357,,,,,,,,,0.004999305307865143,0,0.0009998610615730287,0.004999305307865143,73.48606707631735,71.17842864990234,8.195638656616211e-08,0.4376373291015625,1169.9184826191556
1650,1768943328.3215506,98.01394653320312,7.3668413162231445,90.34930419921875,0.29779690504074097,0.0,,,1582.6268617738087,10.628105433931054,,,0.00390625512227416,0,6.219658851623535,0,2.8769521713256836,0.14893807470798492,,,,,,,,,0.004999258369207382,0,0.0009998516738414765,0.004999258369207382,47.711537420031796,44.821258544921875,1.4901161193847656e-07,0.4376378059387207,1169.9172079107163
1700,1768943348.7239242,93.9773941040039,6.741396427154541,86.93968200683594,0.2963205873966217,0.0,,,846.7423246327137,9.725779194122433,,,0.003906255587935448,0,6.933242321014404,0,2.755596160888672,0.15390923619270325,,,,,,,,,0.004999209642410279,0,0.0009998419284820558,0.004999209642410279,48.89845956352971,42.199649810791016,2.9802322387695312e-08,0.4376366138458252,1169.9203946870227
1750,1768943368.3536153,103.82386016845703,7.065285682678223,96.47480010986328,0.2837727963924408,0.0,,,1170.616348504342,10.193052616863666,,,0.003906255587935448,0,6.981197357177734,0,2.733656883239746,0.1544668972492218,,,,,,,,,0.004999159574508667,0,0.0009998319149017334,0.004999159574508667,74.48273908435591,62.52662658691406,0.00714716874063015,0.4376368522644043,1169.9197573303727
1800,1768943387.955866,96.65815734863281,7.044194221496582,89.31535339355469,0.29860883951187134,0.0,,,1146.1848924717103,10.16262407041181,,,0.003906255587935448,0,7.137483596801758,0,2.7254652976989746,0.15009081363677979,,,,,,,,,0.0049991078674793245,0,0.0009998215734958649,0.0049991078674793245,47.71862253273946,37.32374954223633,1.1175870895385742e-07,0.4376375675201416,1169.9178452645888
1850,1768943407.5559247,94.87895202636719,6.919085502624512,87.66715240478516,0.2927165627479553,0.0,,,1011.3946537321157,9.982130342123105,,,0.003906254656612873,0,7.402202606201172,0,2.619934558868408,0.16237741708755493,,,,,,,,,0.00499905452132225,0,0.00099981090426445,0.00499905452132225,45.13252191475462,34.81826400756836,0.0029977522790431976,0.42200660705566406,1213.2511468771045
1900,1768943427.1809337,93.21038055419922,6.5427985191345215,86.33734130859375,0.330241322517395,0.0,,,694.2266686959304,9.439262977091028,,,0.00390625512227416,0,7.163641452789307,0,2.7116236686706543,0.1506759077310562,,,,,,,,,0.004998999834060669,0,0.0009997999668121338,0.004998999834060669,50.9584593132918,47.13844299316406,0.019281180575489998,0.42200684547424316,1213.2504614341606
1950,1768943446.813775,100.78724670410156,6.404955863952637,94.05734252929688,0.32495465874671936,0.0,,,604.8351030586721,9.240398062037155,,,0.003906255587935448,0,7.427183628082275,0,2.6213886737823486,0.16252274811267853,,,,,,,,,0.004998943358659745,0,0.0009997886717319489,0.004998943358659745,48.41104930234427,39.95751953125,0.040659889578819275,0.4376366138458252,1169.9203946870227
2000,1768943466.433829,96.00674438476562,6.829394340515137,88.86817932128906,0.3091753423213959,0.0,99.17695770263671,6.547505474090576,924.6306315447442,9.852733347336342,697.5020141601562,9.446053677663816,0.00390625512227416,0,6.751945972442627,0,2.756619930267334,0.1532154083251953,,,,,,,,,0.0049988855421543126,0,0.0009997771084308625,0.0049988855421543126,36.5989859111012,32.93960952758789,0.04348071664571762,0.4376366138458252,1169.9203946870227
2050,1768943513.8376575,88.84580993652344,6.886015892028809,81.66551971435547,0.29427385330200195,0.0,,,978.4952104427571,9.934420978912554,,,0.00390625512227416,0,6.8986992835998535,0,2.7408251762390137,0.15498439967632294,,,,,,,,,0.004998826086521148,0,0.0009997652173042298,0.004998826086521148,38.29822940589685,32.03724670410156,0.021000849083065987,0.4376373291015625,1169.9184826191556
2100,1768943533.443643,98.15911102294922,6.9515886306762695,90.90225219726562,0.3052699565887451,0.0,,,1044.8082248589803,10.029022443776753,,,0.00390625512227416,0,6.58551025390625,0,2.7847087383270264,0.1482195258140564,,,,,,,,,0.004998765140771866,0,0.0009997530281543733,0.004998765140771866,65.06044286535068,58.28287124633789,0.00019957125186920166,0.42200613021850586,1213.2525177653158
2150,1768943553.07908,100.27643585205078,7.031133651733398,92.9272232055664,0.3180769085884094,0.0,,,1131.3123977594778,10.143781651183282,,,0.003906255587935448,0,6.535806655883789,0,2.802072048187256,0.1487615406513214,,,,,,,,,0.004998702704906464,0,0.0009997405409812928,0.004998702704906464,37.07185459651427,32.35688781738281,0.007347606122493744,0.4376370906829834,1169.9191199744168
2200,1768943572.6906006,93.11143493652344,6.818199157714844,86.00318145751953,0.2900537848472595,0.0,,,914.3369499360178,9.836582112628513,,,0.00390625512227416,0,7.582021713256836,0,2.6250288486480713,0.15516918897628784,,,,,,,,,0.00499863862991333,0,0.000999727725982666,0.00499863862991333,42.229935662621244,31.19341468811035,0.0009468048810958862,0.4376373291015625,1169.9184826191556
2250,1768943592.2925353,96.14545440673828,6.951270580291748,88.8647232055664,0.32946309447288513,0.0,,,1044.475976040046,10.028563594064252,,,0.003906255587935448,0,6.84994649887085,0,2.739591121673584,0.15319721400737762,,,,,,,,,0.004998573064804077,0,0.0009997146129608154,0.004998573064804077,55.5116952390403,50.235870361328125,0.09121972322463989,0.4376368522644043,1169.9197573303727
