step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
50,8.558709253525812e-07,3220.447509765625,10.566974639892578,38831.018025934194,15.244921910172463,,,,2304.0132712715613,2062.621826171875,68.42279052734375,431.131103515625,0.0025,1023.6807636168454,0.5001559257507324,0,1.1362254619598389,0.5405464172363281
100,1.7117418507051624e-06,1127.7354736328125,9.28759479522705,10803.168991679198,13.399166952860215,,,,783.0492687327692,655.444580078125,31.90373420715332,199.67581176757812,0.005,1056.7019762814732,0.4845263957977295,0,1.70829439163208,0.3587931990623474
150,2.5676127760577435e-06,373.29449462890625,7.702479362487793,2213.8300802921513,11.112328778810724,,,,139.61122513274316,102.49551391601562,8.260708808898926,88.16355895996094,0.004999998658895492,1023.6802756402282,0.5001561641693115,0,2.2216780185699463,0.25777530670166016
200,3.4234837014103248e-06,371.6279602050781,7.687540054321289,2181.0028093907877,11.090775913004597,,,,129.384941827672,99.54537963867188,4.895240306854248,66.15946197509766,0.0049999944865703584,1023.6802756402282,0.5001561641693115,0,2.3926897048950195,0.23512649536132812
250,4.279354626762906e-06,287.54193115234375,7.333482265472412,1530.7028155335202,10.57997849684421,,,,113.18208928813665,91.34812927246094,4.928379535675049,57.10398864746094,0.004999987632036209,1056.703536182592,0.4845256805419922,0,2.385439872741699,0.2182670384645462
300,5.135225552115487e-06,261.62847900390625,7.543489933013916,1888.4089592362784,10.882955517354995,,,,138.8607138329882,125.71607971191406,5.385267734527588,56.10466003417969,0.0049999780952930456,1056.7009363499526,0.4845268726348877,0,2.3744349479675293,0.22239181399345398
350,5.991096477468068e-06,238.8529815673828,7.403374671936035,1641.5146668588116,10.680811925045075,,,,127.66005878376983,114.90082550048828,5.449405193328857,50.39405059814453,0.004999965727329254,1021.3200206405711,0.5013120174407959,0,2.456700325012207,0.2012329250574112
400,6.8469674028206495e-06,212.5891571044922,7.6589555740356445,2119.5425668608773,11.04953722505011,,,,171.50092310572975,162.8740997314453,6.177316188812256,47.56400680541992,0.004999950528144836,1023.6788117131675,0.5001568794250488,0,2.4037928581237793,0.20790764689445496
450,7.702838328173231e-06,183.28793334960938,7.237954139709473,1391.2447649026574,10.4421605435406,,,,81.17902458894848,64.3349609375,5.673218727111816,45.95914077758789,0.004999932795763016,1056.7004163849597,0.4845271110534668,0,2.3452281951904297,0.20824779570102692
500,8.558709253525812e-06,191.28305053710938,7.441056728363037,1704.5505166487396,10.735175640982808,,,,92.2681995542278,77.4944076538086,4.523707389831543,46.724098205566406,0.004999912232160568,1056.702496248001,0.4845261573791504,0,2.3690314292907715,0.20351949334144592
550,9.414580178878393e-06,160.44659423828125,7.062273025512695,1167.0949897606138,10.188706271311062,,,,64.69823913698801,43.71854782104492,5.484896659851074,44.987247467041016,0.004999888837337494,1091.9262172591248,0.46889615058898926,0,2.3516645431518555,0.1987186074256897
600,1.0270451104230974e-05,175.85520935058594,6.887801170349121,980.2436569959629,9.936996591091875,,,,80.07270949202109,62.25322341918945,4.806441307067871,46.03953552246094,0.0049998627603054045,1030.2330229737718,0.4969749450683594,0,2.3027470111846924,0.2052956521511078
650,1.1126322029583555e-05,178.9790802001953,7.237067222595215,1390.0113931406554,10.440880992618181,,,,85.22565491608599,67.368408203125,5.831445693969727,47.28146743774414,0.004999833852052688,1023.6792996883892,0.5001566410064697,0,2.3823018074035645,0.20571142435073853
700,1.1982192954936136e-05,177.56642150878906,6.934145927429199,1026.741965294319,10.003857942302508,,,,73.90340394267196,52.524356842041016,6.003796100616455,46.7761116027832,0.0049998024106025695,1056.7030162150406,0.4845259189605713,0,2.362574338912964,0.2007085382938385
750,1.2838063880288718e-05,144.04737854003906,6.928585529327393,1021.048714259242,9.995835983535663,,,,54.1905957046557,35.64671325683594,5.201430797576904,38.59174346923828,0.004999767988920212,1023.679787664076,0.5001564025878906,0,2.3611032962799072,0.19957682490348816
800,1.3693934805641299e-05,148.24986267089844,6.853702545166016,947.3821461086192,9.887802673639078,,,,64.52399814796577,40.11205291748047,6.235150337219238,41.48245620727539,0.004999731034040451,1056.7014563154569,0.4845266342163086,0,2.231523036956787,0.20534639060497284
850,1.454980573099388e-05,154.08349609375,6.872058868408203,964.9331925344596,9.914285250149536,,,,81.13710285792544,69.49244689941406,4.543793678283691,38.46039581298828,0.004999691098928452,1049.6553819503845,0.4877791404724121,0,2.364049196243286,0.1914699673652649
900,1.5405676656346462e-05,139.35260009765625,7.0688982009887695,1174.8528691448157,10.198264379115413,,,,56.2550911404739,36.58780288696289,5.1956257820129395,37.61820983886719,0.004999648630619049,1056.7030162150406,0.4845259189605713,0,2.3682026863098145,0.1921006739139557
950,1.626154758169904e-05,153.93447875976562,7.094264984130859,1205.0363170856185,10.234860911357812,,,,78.80127883886293,56.860958099365234,6.319571495056152,41.536922454833984,0.00499960333108902,1023.6792996883892,0.5001566410064697,0,2.4003238677978516,0.2025354504585266
1000,1.7117418507051624e-05,144.23828125,6.821664333343506,917.5107838214344,9.841581304323793,145.29691162109376,1104.493408203125,10.109169248387357,55.37081205318412,33.79351806640625,5.6562724113464355,38.51044845581055,0.004999555349349975,1056.7030162150406,0.4845259189605713,0,2.291876792907715,0.20303818583488464
1050,1.7973289432404203e-05,162.5420684814453,7.377677917480469,1599.870420051613,10.643739344825088,,,,56.68317582571543,32.792388916015625,5.46981954574585,38.76445007324219,0.004999504536390305,1019.3145066053032,0.5022983551025391,0,2.3971049785614014,0.19408106803894043
1100,1.8829160357756786e-05,141.96780395507812,7.285540580749512,1459.0496538637044,10.51081326604262,,,,61.43363409128848,41.970794677734375,5.475359916687012,39.82642364501953,0.004999451041221618,1023.679787664076,0.5001564025878906,0,2.340481996536255,0.19525118172168732
1150,1.9685031283109365e-05,142.85183715820312,6.880042552947998,972.6677487913997,9.92580327224312,,,,47.21490145942425,21.871261596679688,5.194386005401611,33.63079071044922,0.004999394714832306,1056.7014563154569,0.4845266342163086,0,2.2795257568359375,0.19523531198501587
1200,2.0540902208461948e-05,153.5511016845703,7.3587141036987305,1569.8166431172708,10.616380344725831,,,,51.44021057442267,29.706247329711914,6.055914402008057,38.08698272705078,0.004999335706233978,1056.7009363499526,0.4845268726348877,0,2.410402297973633,0.19520357251167297
