token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44
0,punct,-0.010987172,-0.0018717578,0.025368849,0.039191436,-0.010991956,-0.0044592023,-0.026815876,0.039456446,-0.019625032,-0.025757402,-0.018289028,-0.0052051726,-0.012446374,0.0032945445,-0.040772855,-0.0140045695,-0.018988319,0.0038577553,-0.010310646,-0.013480682,-0.0206524,8.878883e-05,-0.023677962,0.010976584,0.021017129,-0.03339342,0.021979641,-0.008327123,0.024967194,-0.016861496,0.044936802,-0.0030798842,-0.03527368,-0.018465042,0.021054411,-0.015771706,0.017934531,-0.017178273,-0.00021510321,0.025923781,0.0048025195,0.026222382,-7.598581e-05,0.005498487,0.031048244
1,punct,-0.018258912,0.020862374,0.022370443,0.009762817,-0.0413021,0.007136886,-0.006312907,-0.016334511,0.0155034475,0.013448369,-0.013575701,-0.007552789,-0.0018627478,0.036665373,0.0038346855,-0.0059267017,-0.026696375,0.02234924,-0.00017330672,-0.006710615,-0.002203138,0.01564088,0.0053477795,9.452235e-05,0.00073372916,0.02978371,0.01805589,0.00082297367,0.0066382214,0.01848638,0.024557607,0.037347417,-0.0016170436,0.025121735,0.00020462184,0.003034439,-0.018294634,0.020683017,-0.016884614,0.06538903,0.002471979,-0.022260634,0.018977376,0.006540391,0.044092357
2,punct,0.022545544,0.02830863,0.024342613,0.010555759,0.02262216,-0.016331209,0.0028624837,0.019064285,0.014090534,0.012396566,0.006572931,-0.035742827,0.01225051,-0.016659446,-0.010067429,0.019217346,0.014053686,0.0022470315,0.03391844,-0.019348074,-0.007985196,0.044903185,-0.016543085,0.004733459,-0.019806884,-0.009786784,-0.004028124,0.0068243123,0.0050027524,0.010083076,-0.0054514864,-0.018506506,-0.0004715823,-0.0036557456,0.0030195948,-0.0054466873,-0.010347002,0.010330295,-0.028590957,0.027699662,-0.015985684,0.035630826,0.019309299,-0.010936937,0.018740673
3,punct,-0.01227542,-0.0067510786,0.029113753,0.0010408182,0.012214653,0.01165045,0.020409929,0.02781361,-0.041291874,-0.0028189814,-0.028983831,-0.0056297253,-0.002587459,-0.020560956,-0.026243187,0.012243101,-0.0018830713,-0.021211822,0.011371055,-0.00051497,0.030401248,0.004102595,0.013371725,-0.0054496834,0.021078816,-0.027876927,-0.0040797344,-0.007066272,-0.011260574,-0.005810033,0.008528261,0.001324882,0.0062996424,-0.003941687,-0.04271575,-0.025121255,-0.00871276,0.0012882007,0.0081333155,-7.90562e-05,0.0047370377,-0.0117675075,-0.019471342,0.0013410939,0.003373928
4,punct,0.0018048937,0.026077919,-0.024814265,0.0395681,-0.018396068,-0.011559095,0.039254367,-0.0014425198,0.020825926,-0.0005058119,-0.025353953,3.6083136e-05,-0.004334712,-0.022418372,-0.009273096,0.008763323,-0.0022307297,-0.00033217974,0.004012116,-0.01553823,-0.005983485,0.023929786,-0.012317624,0.009625717,0.029001381,0.0070963213,-0.0033302607,0.00021613167,0.019595226,-0.0091861235,-0.0021996829,-0.026236488,-0.011533763,-0.0073332055,-0.016221706,0.00093652616,-0.0002566275,-0.024672832,0.008419155,0.0025464422,0.0069263065,-0.0148971565,0.018068725,-0.038041037,0.0050428025
5,punct,-0.028562855,-0.0084663415,-0.024847882,0.020605542,-0.01370484,-0.027434276,0.0098090805,-0.03847962,0.0003969662,-0.03296762,-0.0011064662,-0.035578888,-0.04689146,-0.015500895,0.0020795616,-0.030455897,0.016917966,-0.013796098,-0.022775473,0.012357073,-0.012139955,-0.027583497,0.015428328,-0.009361214,-0.007776373,0.023979757,0.035595704,-0.007862312,0.0107211685,0.009766959,-0.013285256,0.027056178,0.0070617334,-0.0528323,0.014587924,0.015343862,0.01508093,-0.028847467,0.028388148,0.010021063,-0.0057268105,-0.017303992,0.015809638,-0.01968775,-0.008303373
6,punct,-0.0078486465,-0.00011566529,0.011724115,0.011037053,-0.03873701,0.0035750482,-0.023502668,-0.0046441494,-0.003109461,-0.023434762,-0.010089757,0.0048514414,0.0022053015,-0.025672294,0.0076908856,0.004226926,-0.019471994,-0.0105252955,-0.019195411,-0.009120071,0.013633743,0.012663055,0.01944839,0.029786354,0.01213022,0.019183725,-0.0022053674,0.013874971,-0.015339456,0.00019495664,-0.00020854261,0.037359916,0.019264217,-0.0031295945,0.035662998,0.01809694,-0.011838529,0.0077163097,0.0007899954,-0.02755482,-0.021814484,-0.0066155875,-0.009293281,0.015566197,-0.011986856
7,punct,0.0017524364,0.0010633585,-0.004244682,0.0060898094,0.015661784,0.023660805,0.028885854,0.015045288,-0.03161541,0.024685103,-0.019541683,-0.016339224,0.008812583,0.021337682,0.03587963,-0.017401364,0.030606829,-0.010473286,0.03649111,-0.0028048342,-0.013737412,0.0164669,0.045161508,0.03500974,0.012602989,0.025402488,0.027308771,0.032204933,0.0072232527,0.0043930737,-0.015261884,0.014516905,0.014606572,0.03842148,0.018842718,0.062290225,-0.020767936,-0.01646051,0.02347054,-0.011301193,0.007056099,0.014388102,-0.019292243,0.014819286,0.019362092
8,punct,0.016695904,-0.009855734,0.0024550206,-0.0013094951,0.0038087647,0.013702022,-0.007897726,-0.027917806,-0.015697261,0.03664185,-0.016268246,-0.014544847,-0.0019457192,-0.05318076,-0.015994575,-0.02751347,-0.00711621,-0.03088554,0.025635399,-0.021561895,0.008770917,-0.0060801916,-0.020680988,-0.0124734705,-0.017865064,-0.02065968,-0.0055080955,0.02522668,-0.024910228,0.020798048,0.0071678692,0.009497204,-0.011529793,0.02248167,-0.017610291,-0.007487509,-0.0034138435,0.013146465,0.02714621,0.011077137,0.008499718,0.027524296,-0.0030404076,-0.0062378147,0.016797148
9,punct,0.032133237,0.037455887,-0.031663433,0.030129401,0.004588356,0.017879456,-0.0050373063,0.013792856,-0.021365851,0.031065492,-0.0091423895,0.0013394192,-0.0057007023,0.01698728,-0.004241131,0.0021620253,-0.020554768,0.014172648,0.0031189013,-0.0051717125,-0.02683483,-0.00667799,-0.027092649,-0.016250188,-0.008448891,0.029419763,-0.0059706145,-0.010941919,-0.013994316,0.024398219,-0.031345084,-0.0087797465,-0.021281186,0.02983979,-0.023274815,-0.0056865923,0.005398134,-0.026018417,0.06462572,-0.023617575,0.02114205,0.011077492,0.002173072,-0.004154756,-0.0015424177
10,punct,0.0038979345,-0.022172034,0.013288949,0.026337413,0.033860687,-0.02920346,0.015271435,0.03287148,-0.0017821036,0.0074631297,-0.00808114,-0.0070255133,0.0059036976,-0.000531548,0.03457744,0.027070183,0.031487152,-0.017379787,0.023435166,0.015872724,-0.008487555,-0.004757956,-0.0072899046,0.019076154,0.047607884,-0.012066872,-0.02016374,0.019898187,0.021821542,-0.017778128,0.0069491128,0.0030485895,0.0022886514,0.004638288,0.016737849,-0.0097128935,-0.01542471,-0.008735763,-0.009791507,0.014175142,0.0140688615,-0.012182999,0.002447089,0.004635602,0.0022485205
