token_id,category,phi_0,phi_1,phi_2
0,punct,0.020594465,-0.0080741,-0.0022596535
1,punct,-0.015959254,0.0042664516,0.0056871315
2,punct,0.02651437,-0.010267596,-0.003989161
3,punct,-0.0023788596,-0.0015602186,-0.0263242
4,punct,0.04210796,0.012504492,0.0020456049
5,punct,0.023207743,-0.00971862,-0.010694125
6,punct,0.0032790874,0.01313335,-0.0066246754
7,punct,0.026170917,-0.0047550653,-0.02374331
8,punct,-0.016547466,0.050498817,-0.0177477
9,punct,0.00870797,0.021497333,0.009577142
10,punct,-0.036841698,0.00523687,0.0315232
11,punct,-0.002423879,-0.009612205,-8.394061e-05
12,punct,-0.0010771785,-0.009818812,0.0026337586
13,punct,-0.0038093948,0.01105119,-0.010423098
14,punct,-0.010071548,-0.0038658734,-0.019601583
15,digit,0.020554133,0.0031542128,-0.007337004
16,digit,0.006809121,0.009964889,0.0016661572
17,digit,0.021295791,0.001162662,0.001342508
18,digit,0.018480552,-0.0034587942,0.008001859
19,digit,0.013602072,-0.001161308,0.0045896806
20,digit,0.007960476,0.00677291,0.005826823
21,digit,0.010392002,-0.0013338334,-0.0021283475
22,digit,0.0073646167,-0.004465195,0.00042303352
23,digit,0.0017850867,-0.005914599,-0.0036406282
24,digit,0.0074124206,-0.012398399,-0.0026537054
25,punct,-0.018635208,0.017746316,-0.022535685
26,punct,-0.0021261778,-0.014187288,-0.018354814
27,punct,0.024319874,-0.02949357,0.0014752825
28,punct,0.013786385,0.017593464,-0.0005177358
29,punct,0.015536,0.0067269313,0.0020266098
30,punct,-0.008871599,-0.02095918,-0.0017198619
31,punct,-0.012272456,0.012144312,0.037304185
32,letter,0.008955791,-0.0022305408,0.0053131403
33,letter,0.018622331,0.0016458542,0.004314162
34,letter,0.013656118,-0.0005826291,-0.001858005
35,letter,0.020786807,-0.0006501052,-0.00030525483
36,letter,0.01278059,0.00055152684,-0.001855752
37,letter,0.011484379,0.0058424245,-0.00151756
38,letter,0.0061454717,0.0029093954,-0.005046203
39,letter,0.01487463,0.00295605,-0.0034666923
40,letter,0.009885361,0.0059440695,0.0002111426
