step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
25,1768228699.6410892,11.25078296661377,10.819731712341309,0.42596036195755005,0.005090953782200813,0.0,,,49997.671450774375,15.609573285143858,,,0.007812504656612873,0,0.003402053378522396,0,3.8402726650238037,0.050234775990247726,,,,,,,,,0.005,0,0.0025,0.005,0.49779012463426087,0.4942609965801239,0.0073547447100281715,0.31284093856811523,2454.9216720649315
50,1768228707.1528325,10.940240859985352,10.254998207092285,0.6427440643310547,0.042498879134655,0.0,,,28424.25778955078,14.79483505769725,,,0.007812504656612873,0,0.005034191533923149,0,3.840270519256592,0.050273966044187546,,,,,,,,,0.01,0,0.005,0.01,0.5641072136099805,0.5224562287330627,0.10374721139669418,0.3064439296722412,2506.168096791536
75,1768228714.7019718,9.861322402954102,8.144078254699707,1.4789060354232788,0.2383381426334381,0.0,,,3442.930422359591,11.749421310666913,,,0.007812504656612873,0,0.012158435769379139,0,3.8402514457702637,0.05037054046988487,,,,,,,,,0.009999998509883881,0,0.004999999254941941,0.009999998509883881,0.8552846997480446,0.805080771446228,0.003745775204151869,0.3165154457092285,2426.421871068922
100,1768228722.1689787,9.944670677185059,7.914174556732178,1.8364957571029663,0.19400054216384888,0.0,,,2735.787360843398,11.417740385727123,,,0.007812504656612873,0,0.013829036615788937,0,3.8402202129364014,0.05049378424882889,,,,,,,,,0.009999993741512298,0,0.004999996870756149,0.009999993741512298,1.0041047602944386,0.9208503365516663,0.19882147014141083,0.2969672679901123,2586.1436016092216
125,1768228729.5775437,10.096335411071777,7.738138198852539,2.1590776443481445,0.19911980628967285,0.0,,,2294.1970657324005,11.163773605198013,,,0.007812504656612873,0,0.016061685979366302,0,3.840181350708008,0.0505298487842083,,,,,,,,,0.009999985992908479,0,0.004999992996454239,0.009999985992908479,1.0372234741210384,0.9322842359542847,0.2768118679523468,0.31259703636169434,2456.8371118892373
150,1768228737.001902,9.975399017333984,7.657859802246094,2.1608333587646484,0.15670567750930786,0.0,,,2117.221303928842,11.047956360523377,,,0.007812504656612873,0,0.01788666844367981,0,3.840186595916748,0.05045468732714653,,,,,,,,,0.009999975264072418,0,0.004999987632036209,0.009999975264072418,0.8880110406730701,0.799643874168396,0.21331442892551422,0.29697632789611816,2586.0647056981766
175,1768228744.4335132,10.11683177947998,7.54430627822876,2.4344515800476074,0.13807398080825806,0.0,,,1889.9511822613651,10.884133254548104,,,0.007812504656612873,0,0.018784785643219948,0,3.840137004852295,0.050540558993816376,,,,,,,,,0.00999996155500412,0,0.00499998077750206,0.00999996155500412,0.9622750542093399,0.8684841394424438,0.10846282541751862,0.31259751319885254,2456.8333642227426
200,1768228751.8417368,10.213333129882812,7.465267181396484,2.60994553565979,0.13812027871608734,0.0,,,1746.3220706659001,10.770103941511838,,,0.007812504656612873,0,0.02157260663807392,0,3.8401122093200684,0.050542157143354416,,,,,,,,,0.00999994456768036,0,0.00499997228384018,0.00999994456768036,1.006952429088213,0.9238899350166321,0.2028733193874359,0.31259703636169434,2456.8371118892373
225,1768228759.2510734,9.541182518005371,7.069014072418213,2.364569902420044,0.10759833455085754,0.0,,,1174.9890089133517,10.198431546252051,,,0.007812504656612873,0,0.020074771717190742,0,3.840151309967041,0.05045931041240692,,,,,,,,,0.009999924302101136,0,0.004999962151050568,0.009999924302101136,0.8921816272127003,0.8155027627944946,0.019403066486120224,0.31259775161743164,2456.8314903937826
250,1768228766.6626997,10.320464134216309,7.414778232574463,2.8014750480651855,0.104210764169693,0.0,,,1660.3409180344006,10.69726378542661,,,0.007812504656612873,0,0.023364517837762833,0,3.840082883834839,0.05051632970571518,,,,,,,,,0.009999901354312897,0,0.0049999506771564485,0.009999901354312897,0.9428999839617146,0.8628711700439453,0.07112129032611847,0.31259799003601074,2456.8296165676807
275,1768228774.0868943,10.10401439666748,7.228764057159424,2.7875797748565674,0.08766993880271912,0.0,,,1378.5176817132453,10.428902057020284,,,0.007812504656612873,0,0.023806074634194374,0,3.840054988861084,0.05049966275691986,,,,,,,,,0.009999875128269196,0,0.004999937564134598,0.009999875128269196,1.0330207269783718,0.9449554085731506,0.16018782556056976,0.31259775161743164,2456.8314903937826
