step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss
1000,2.5676099851784714e-05,7.533585071563721,7.533585071563721,1869.7968574419447,10.868665822860107,,,,0.7103751849616348,0.0,0.0,0.0,0.0,24569.626653242416,0.015629053115844727,0
2000,5.135219970356943e-05,7.685833930969238,7.685833930969238,2177.2849220558523,11.088314497305449,,,,1.0136718137745588,0.0,0.0,0.0,0.0,0,0.0,0
3000,7.702829955535414e-05,6.958934307098389,6.958934307098389,1052.5113055335187,10.03962001472292,,,,1.039350578427426,0.0,0.0,0.0,0.0,24567.752768540835,0.015630245208740234,0
4000,0.00010270439940713886,7.071751594543457,7.071751594543457,1178.2099740423234,10.202380955846465,,,,1.0982339671132046,0.0,0.0,0.0,0.0,0,0.0,0
5000,0.00012838049925892358,6.807534694671631,6.807534694671631,904.6378471098986,9.821196544682326,6.758574771881103,861.4137573242188,9.750562306870124,1.0982572756108009,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
6000,0.00015405659911070827,7.237176418304443,7.237176418304443,1390.1631847079082,10.441038528726372,,,,1.4271449945933874,0.0,0.0,0.0,0.0,0,0.0,0
7000,0.000179732698962493,6.47164249420166,6.47164249420166,646.5448014096331,9.336606532791018,,,,1.7617252972790638,0.0,0.0,0.0,0.0,24568.877065059874,0.01562952995300293,0
8000,0.00020540879881427771,6.784112453460693,6.784112453460693,883.6954179714714,9.787405393440801,,,,1.3546081134433958,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
9000,0.00023108489866606244,6.538432598114014,6.538432598114014,691.2023366913745,9.432964284485829,,,,1.2983597853065152,0.0,0.0,0.0,0.0,24568.502288120082,0.01562976837158203,0
10000,0.00025676099851784716,6.411764621734619,6.411764621734619,608.9673304773578,9.250221023123835,6.444130325317383,628.9994506835938,9.296914863177571,1.2262551183593915,0.0,0.0,0.0,0.0,24570.00146448621,0.015628814697265625,0
11000,0.00028243709836963185,6.497564315795898,6.497564315795898,663.5235294698815,9.374003816255833,,,,1.5329257536803067,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
12000,0.00030811319822141654,7.143425941467285,7.143425941467285,1265.7573801253204,10.305785180712427,,,,1.25025008270822,0.0,0.0,0.0,0.0,24569.25185343381,0.015629291534423828,0
13000,0.0003337892980732013,7.131640911102295,7.131640911102295,1250.9279452700384,10.28878297584813,,,,1.471303002866492,0.0,0.0,0.0,0.0,24569.25185343381,0.015629291534423828,0
14000,0.000359465397924986,6.730194568634033,6.730194568634033,837.3101644011145,9.709618328386156,,,,1.2611534490962426,0.0,0.0,0.0,0.0,57207.24358883285,0.006712436676025391,0
15000,0.0003851414977767707,6.779024600982666,6.779024600982666,879.210724453157,9.780065173901976,6.257474517822265,521.899169921875,9.02762745535124,1.439301020885765,0.0,0.0,0.0,0.0,0,0.0,0
16000,0.00041081759762855543,6.536067485809326,6.536067485809326,689.5694972253355,9.42955214869271,,,,1.4002587255912742,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
17000,0.0004364936974803401,6.7392802238464355,6.7392802238464355,844.9523403775238,9.722726158104317,,,,1.3747021070857672,0.0,0.0,0.0,0.0,0,0.0,0
18000,0.00046216979733212487,6.31343412399292,6.31343412399292,551.9371184810063,9.108360101663743,,,,1.3458751696526277,0.0,0.0,0.0,0.0,24567.378025900332,0.015630483627319336,0
19000,0.00048784589718390956,7.041245460510254,7.041245460510254,1142.8100454317255,10.158369907560068,,,,1.4746880825675435,0.0,0.0,0.0,0.0,24568.877065059874,0.01562952995300293,0
20000,0.0005135219970356943,6.93969202041626,6.93969202041626,1032.452191794331,10.01185926315125,6.232189655303955,508.8684997558594,8.991149109586514,1.551421858294157,0.0,0.0,0.0,0.0,0,0.0,0
21000,0.000539198096887479,6.484551906585693,6.484551906585693,654.9454217465477,9.355230878018252,,,,1.5737453567016229,0.0,0.0,0.0,0.0,0,0.0,0
22000,0.0005648741967392637,6.58143424987793,6.58143424987793,721.5735041495104,9.495002554235665,,,,1.517210931310657,0.0,0.0,0.0,0.0,24567.378025900332,0.015630483627319336,0
23000,0.0005905502965910484,6.8448638916015625,6.8448638916015625,939.0454603377214,9.875051191973506,,,,1.4030373634932256,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
24000,0.0006162263964428331,6.994226455688477,6.994226455688477,1090.3199406530325,10.090535822476157,,,,1.5828248152527977,0.0,0.0,0.0,0.0,0,0.0,0
25000,0.0006419024962946179,6.444937229156494,6.444937229156494,629.5071610263128,9.298078979344732,6.142679691314697,465.29876708984375,8.862013528429063,1.5187970241296145,0.0,0.0,0.0,0.0,24568.877065059874,0.01562952995300293,0
26000,0.0006675785961464026,6.833446979522705,6.833446979522705,928.385428990003,9.858580069535073,,,,1.4762370166518723,0.0,0.0,0.0,0.0,24568.877065059874,0.01562952995300293,0
27000,0.0006932546959981873,6.450708389282227,6.450708389282227,633.1506511226833,9.306405003438302,,,,1.4620627264160524,0.0,0.0,0.0,0.0,24568.127522613908,0.015630006790161133,0
28000,0.000718930795849972,6.916897296905518,6.916897296905518,1009.1839338037763,9.978973428583867,,,,1.4801639731057563,0.0,0.0,0.0,0.0,24567.003294691884,0.015630722045898438,0
29000,0.0007446068957017567,6.912623405456543,6.912623405456543,1004.8799950535238,9.972807506585132,,,,1.7359591764604152,0.0,0.0,0.0,0.0,0,0.0,0
30000,0.0007702829955535414,6.756660461425781,6.756660461425781,859.7661738666324,9.74780054066951,5.883395195007324,359.026123046875,8.487945071427022,1.601032066328223,0.0,0.0,0.0,0.0,24568.877065059874,0.01562952995300293,0
31000,0.0007959590954053262,6.689514636993408,6.689514636993408,803.931958602098,9.650929592744525,,,,1.3664756069825337,0.0,0.0,0.0,0.0,0,0.0,0
32000,0.0008216351952571109,6.278366565704346,6.278366565704346,532.9174668306658,9.057768309224732,,,,1.523340323945157,0.0,0.0,0.0,0.0,24567.003294691884,0.015630722045898438,0
33000,0.0008473112951088956,6.302574157714844,6.302574157714844,545.9755299039414,9.092692482170142,,,,1.5688377217928586,0.0,0.0,0.0,0.0,24567.378025900332,0.015630483627319336,0
34000,0.0008729873949606802,7.0867438316345215,7.0867438316345215,1196.0070529810337,10.224010181949575,,,,1.5261406434197484,0.0,0.0,0.0,0.0,0,0.0,0
